Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;1;(Temperature(F), '\'(56.05-66.8]\'');(Weather_Condition, unknown);0.0018;;
U;1;(Weather_Condition, unknown);(Traffic_Signal, True);0.0014;;
U;1;(Street, Tunnel);(Temperature(F), '\'(-inf-36.25]\'');0.0013;;
U;1;(Street, Tunnel);(Humidity(%), '\'(-inf-45.5]\'');0.0011;;
U;1;(Humidity(%), '\'(45.5-57.5]\'');(Weather_Condition, Drizzle);0.0011;;
U;1;(Temperature(F), '\'(36.25-46.2]\'');(Weather_Condition, unknown);0.0011;;
U;0;(Wind_Direction, N);(Amenity, True);0.0010;;
U;1;(Weather_Condition, Rain);(Stop, True);0.0009;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Fog);0.0009;;
U;0;(Street, Tunnel);(Weather_Condition, Overcast);0.0009;;
U;1;(Wind_Direction, W);(Weather_Condition, Snow);0.0007;;
U;1;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.0007;;
U;1;(Weather_Condition, 'Scattered Clouds');(Amenity, True);0.0007;;
U;1;(Wind_Direction, NE);(Weather_Condition, unknown);0.0007;;
U;1;(Wind_Direction, S);(Weather_Condition, unknown);0.0007;;
U;1;(Weather_Condition, 'Scattered Clouds');(Station, True);0.0007;;
U;1;(Weather_Condition, Overcast);(Railway, True);0.0007;;
U;0;(Street, Interstate);(Traffic_Signal, True);0.0007;;
U;0;(Street, Beltway);(Weather_Condition, Snow);0.0007;;
U;1;(Temperature(F), '\'(56.05-66.8]\'');(Weather_Condition, Haze);0.0005;;
U;1;(Wind_Direction, NE);(Weather_Condition, Thunderstorms);0.0005;;
U;1;(Street, Highway);(Weather_Condition, 'Light Freezing Rain');0.0005;;
U;1;(Weather_Condition, unknown);(Crossing, True);0.0005;;
U;0;(Railway, True);(Traffic_Signal, True);0.0005;;
U;0;(Street, Tunnel);(Humidity(%), '\'(45.5-57.5]\'');0.0005;;
U;0;(Wind_Direction, W);(Weather_Condition, Thunderstorms);0.0005;;
U;0;(Wind_Direction, E);(Traffic_Calming, True);0.0005;;
U;0;(Street, Tunnel);(Wind_Direction, E);0.0005;;
U;0;(Street, on_off_ramp);(Temperature(F), '\'(76.05-inf)\'');0.0005;;
U;1;(Humidity(%), '\'(45.5-57.5]\'');(Weather_Condition, Snow);0.0004;;
U;1;(Weather_Condition, 'Heavy Rain');(Station, True);0.0004;;
U;1;(Wind_Direction, unknown);(Weather_Condition, Drizzle);0.0004;;
U;1;(Visibility(mi), '\'(9.5-15]\'');(Weather_Condition, Snow);0.0004;;
U;1;(Street, on_off_ramp);(Weather_Condition, 'Mostly Cloudy');0.0004;;
U;1;(Weather_Condition, Haze);(Crossing, True);0.0004;;
U;1;(Weather_Condition, Haze);(Station, True);0.0004;;
U;1;(Weather_Condition, Thunder);(Traffic_Signal, True);0.0004;;
U;1;(Humidity(%), '\'(57.5-69.5]\'');(Weather_Condition, Thunderstorm);0.0004;;
U;1;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Thunderstorm);0.0004;;
U;1;(Wind_Direction, SW);(Weather_Condition, 'Heavy Rain');0.0004;;
U;1;(Weather_Condition, Clear);(Railway, True);0.0004;;
