Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Street, Beltway);(Humidity(%), '\'(-inf-45.5]\'');(Wind_Direction, SW);0.0035;;
U;1;(Street, local);(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, 'Scattered Clouds');0.0027;;
U;0;(Street, Beltway);(Humidity(%), '\'(-inf-45.5]\'');(Weather_Condition, Clear);0.0026;;
U;0;(Street, Beltway);(Temperature(F), '\'(76.05-inf)\'');(Wind_Direction, SE);0.0024;;
U;1;(Street, local);(Wind_Direction, S);(Stop, True);0.0020;;
U;0;(Street, Beltway);(Temperature(F), '\'(76.05-inf)\'');(Weather_Condition, Cloudy);0.0019;;
U;1;(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, SE);(Weather_Condition, Snow);0.0018;;
U;1;(Humidity(%), '\'(83.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Snow);0.0018;;
U;0;(Street, Beltway);(Wind_Direction, SE);(Weather_Condition, Cloudy);0.0017;;
U;1;(Street, local);(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, unknown);0.0016;;
U;1;(Temperature(F), '\'(-inf-36.25]\'');(Visibility(mi), '\'(9.5-15]\'');(Weather_Condition, unknown);0.0016;;
U;1;(Street, local);(Humidity(%), '\'(45.5-57.5]\'');(Weather_Condition, unknown);0.0016;;
U;0;(Humidity(%), '\'(-inf-45.5]\'');(Wind_Direction, W);(Weather_Condition, Cloudy);0.0016;;
U;0;(Street, Beltway);(Humidity(%), '\'(45.5-57.5]\'');(Weather_Condition, 'Scattered Clouds');0.0016;;
U;1;(Temperature(F), '\'(36.25-46.2]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Scattered Clouds');0.0014;;
U;1;(Humidity(%), '\'(69.5-83.5]\'');(Wind_Direction, NE);(Crossing, True);0.0014;;
U;1;(Pressure(in), '\'(-inf-29.815]\'');(Wind_Direction, SW);(Station, True);0.0014;;
U;1;(Pressure(in), '\'(-inf-29.815]\'');(Wind_Direction, W);(Weather_Condition, 'Scattered Clouds');0.0014;;
U;1;(Temperature(F), '\'(-inf-36.25]\'');(Weather_Condition, unknown);(Sunrise_Sunset, Day);0.0014;;
U;0;(Temperature(F), '\'(76.05-inf)\'');(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Cloudy);0.0014;;
U;0;(Humidity(%), '\'(45.5-57.5]\'');(Weather_Condition, 'Scattered Clouds');(Junction, True);0.0014;;
U;1;(Temperature(F), '\'(46.2-56.05]\'');(Humidity(%), '\'(69.5-83.5]\'');(Stop, True);0.0013;;
U;1;(Temperature(F), '\'(36.25-46.2]\'');(Humidity(%), '\'(69.5-83.5]\'');(Stop, True);0.0013;;
U;1;(Street, local);(Wind_Direction, E);(Stop, True);0.0013;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Clear);0.0013;;
U;1;(Wind_Direction, S);(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Night);0.0013;;
U;1;(Street, local);(Weather_Condition, Overcast);(Stop, True);0.0013;;
U;0;(Street, Beltway);(Wind_Direction, E);(Weather_Condition, Fair);0.0012;;
U;0;(Street, Interstate);(Temperature(F), '\'(46.2-56.05]\'');(Weather_Condition, 'Scattered Clouds');0.0012;;
U;0;(Temperature(F), '\'(56.05-66.8]\'');(Traffic_Calming, True);(Sunrise_Sunset, Day);0.0012;;
U;0;(Street, Beltway);(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Overcast);0.0012;;
U;0;(Humidity(%), '\'(-inf-45.5]\'');(Wind_Direction, NE);(Crossing, True);0.0012;;
U;0;(Street, Beltway);(Temperature(F), '\'(66.8-76.05]\'');(Wind_Direction, E);0.0012;;
U;0;(Temperature(F), '\'(36.25-46.2]\'');(Humidity(%), '\'(45.5-57.5]\'');(Wind_Direction, S);0.0012;;
U;0;(Temperature(F), '\'(36.25-46.2]\'');(Humidity(%), '\'(-inf-45.5]\'');(Wind_Direction, SE);0.0012;;
U;0;(Temperature(F), '\'(76.05-inf)\'');(Weather_Condition, Fair);(Amenity, True);0.0012;;
U;1;(Street, local);(Wind_Direction, Calm);(Railway, True);0.0011;;
U;1;(Temperature(F), '\'(66.8-76.05]\'');(Humidity(%), '\'(57.5-69.5]\'');(Stop, True);0.0011;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, Variable);0.0011;;
