Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(education_num, 9);(marital_status, Never-married);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0285;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(276793.5-inf)\'');(relationship, Own-child);0.0187;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(276793.5-inf)\'');(hr_worked_per_week, '\'(-inf-37.5]\'');0.0180;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(-inf-96945]\'');(relationship, Own-child);0.0157;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 7);(marital_status, Never-married);0.0146;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(176261.5-206692.5]\'');(hr_worked_per_week, '\'(-inf-37.5]\'');0.0145;;
U;0;(age, '\'(27.5-34.5]\'');(education_num, 9);(relationship, Own-child);0.0121;;
U;0;(occupation, Other-service);(relationship, Unmarried);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0117;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(marital_status, Never-married);(occupation, Other-service);0.0114;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 7);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0103;;
U;0;(education_num, 7);(marital_status, Never-married);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0102;;
U;0;(marital_status, Divorced);(occupation, Other-service);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0102;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(marital_status, Never-married);(occupation, Other-service);0.0101;;
U;0;(type_employer, Private);(occupation, Machine-op-inspct);(relationship, Own-child);0.0101;;
U;0;(education_num, 9);(marital_status, Separated);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0098;;
U;0;(occupation, Adm-clerical);(relationship, Unmarried);(race, Black);0.0092;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(education_num, 9);(relationship, Own-child);0.0085;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Craft-repair);(relationship, Own-child);0.0082;;
U;0;(marital_status, Separated);(race, Black);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0082;;
U;0;(marital_status, Never-married);(occupation, Other-service);(relationship, Unmarried);0.0080;;
U;0;(type_employer, Private);(education_num, 8);(marital_status, Never-married);0.0079;;
U;0;(age, '\'(27.5-34.5]\'');(marital_status, Divorced);(occupation, Adm-clerical);0.0076;;
U;0;(type_employer, State-gov);(education_num, 10);(marital_status, Never-married);0.0076;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(education_num, 10);(relationship, Own-child);0.0076;;
U;0;(relationship, Not-in-family);(race, Black);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0075;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Handlers-cleaners);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0075;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Adm-clerical);(relationship, Unmarried);0.0072;;
U;0;(type_employer, State-gov);(marital_status, Never-married);(relationship, Own-child);0.0072;;
U;0;(education_num, 7);(marital_status, Never-married);(sex, Female);0.0072;;
U;0;(occupation, Machine-op-inspct);(relationship, Unmarried);(sex, Female);0.0071;;
U;0;(marital_status, Separated);(occupation, Other-service);(sex, Female);0.0070;;
U;0;(age, '\'(-inf-27.5]\'');(relationship, Other-relative);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0070;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Exec-managerial);(relationship, Own-child);0.0068;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(occupation, Other-service);(relationship, Not-in-family);0.0068;;
U;1;(education_num, 15);(sex, Male);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0067;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 7);(sex, Female);0.0066;;
U;1;(education_num, 15);(marital_status, Married-civ-spouse);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0066;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, State-gov);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0064;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Machine-op-inspct);(relationship, Own-child);0.0063;;
U;0;(education_num, 10);(marital_status, Divorced);(occupation, Other-service);0.0063;;
U;1;(education_num, 15);(relationship, Husband);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0061;;
U;0;(age, '\'(52.5-inf)\'');(marital_status, Divorced);(occupation, Other-service);0.0060;;
U;0;(education_num, 6);(marital_status, Never-married);(relationship, Own-child);0.0058;;
U;0;(type_employer, Private);(education_num, 6);(relationship, Own-child);0.0058;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Divorced);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0057;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(176261.5-206692.5]\'');(race, Black);0.0057;;
U;0;(type_employer, Local-gov);(education_num, 9);(marital_status, Never-married);0.0057;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, State-gov);(relationship, Own-child);0.0056;;
U;0;(education_num, 6);(marital_status, Never-married);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0053;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Other-service);(relationship, Unmarried);0.0053;;
U;0;(type_employer, Local-gov);(marital_status, Never-married);(occupation, Adm-clerical);0.0052;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, State-gov);(sex, Female);0.0052;;
U;0;(education_num, 10);(occupation, Other-service);(race, Black);0.0052;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Craft-repair);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0051;;
U;0;(education_num, 7);(marital_status, Never-married);(occupation, Other-service);0.0050;;
U;0;(type_employer, State-gov);(education_num, 10);(relationship, Own-child);0.0049;;
U;0;(education_num, 10);(marital_status, Never-married);(relationship, Other-relative);0.0048;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Adm-clerical);(relationship, Own-child);0.0048;;
U;0;(marital_status, Separated);(occupation, Adm-clerical);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0047;;
U;0;(education_num, 8);(marital_status, Never-married);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0047;;
U;0;(marital_status, Never-married);(relationship, Other-relative);(race, Black);0.0047;;
U;1;(education_num, 12);(relationship, Husband);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0047;;
