Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(marital_status, Never-married);(occupation, Handlers-cleaners);0.0258;;
U;0;(education_num, 7);(relationship, Own-child);0.0123;;
U;0;(education_num, 12);(relationship, Own-child);0.0073;;
U;0;(occupation, Transport-moving);(relationship, Own-child);0.0070;;
U;0;(occupation, Other-service);(relationship, Other-relative);0.0069;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(relationship, Other-relative);0.0064;;
U;0;(occupation, Tech-support);(relationship, Own-child);0.0063;;
U;1;(relationship, Wife);(sex, Male);0.0062;;
U;0;(marital_status, Widowed);(race, Black);0.0058;;
U;0;(education_num, 8);(relationship, Own-child);0.0054;;
U;0;(marital_status, Separated);(occupation, Machine-op-inspct);0.0048;;
U;0;(marital_status, Separated);(relationship, Own-child);0.0044;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(education_num, 5);0.0040;;
U;0;(relationship, Own-child);(race, Asian-Pac-Islander);0.0040;;
U;0;(occupation, Handlers-cleaners);(relationship, Other-relative);0.0038;;
U;0;(type_employer, Federal-gov);(relationship, Own-child);0.0033;;
U;0;(education_num, 5);(relationship, Own-child);0.0033;;
U;0;(education_num, 4);(relationship, Unmarried);0.0030;;
U;0;(education_num, 4);(marital_status, Divorced);0.0030;;
U;0;(age, '\'(27.5-34.5]\'');(education_num, 4);0.0028;;
U;0;(occupation, Machine-op-inspct);(relationship, Other-relative);0.0027;;
U;0;(marital_status, Widowed);(occupation, Machine-op-inspct);0.0025;;
U;0;(education_num, 7);(marital_status, Separated);0.0024;;
U;0;(age, '\'(-inf-27.5]\'');(race, Other);0.0023;;
U;0;(marital_status, Married-spouse-absent);(occupation, Adm-clerical);0.0022;;
U;0;(occupation, Farming-fishing);(race, Black);0.0022;;
U;0;(relationship, Own-child);(race, Amer-Indian-Eskimo);0.0022;;
U;0;(education_num, 8);(relationship, Unmarried);0.0020;;
U;0;(marital_status, Never-married);(occupation, Priv-house-serv);0.0019;;
U;0;(age, '\'(52.5-inf)\'');(occupation, Priv-house-serv);0.0019;;
U;0;(occupation, Priv-house-serv);(relationship, Not-in-family);0.0019;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Married-spouse-absent);0.0018;;
U;0;(marital_status, Separated);(occupation, Handlers-cleaners);0.0018;;
U;0;(age, '\'(52.5-inf)\'');(education_num, 2);0.0018;;
U;0;(type_employer, Local-gov);(education_num, 4);0.0017;;
U;0;(education_num, 4);(relationship, Own-child);0.0017;;
U;0;(education_num, 9);(occupation, Priv-house-serv);0.0015;;
U;0;(education_num, 3);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0015;;
U;0;(education_num, 4);(occupation, Handlers-cleaners);0.0015;;
U;0;(occupation, Priv-house-serv);(race, Black);0.0015;;
U;0;(education_num, 6);(relationship, Other-relative);0.0015;;
U;1;(marital_status, Married-civ-spouse);(relationship, Unmarried);0.0014;;
U;0;(marital_status, Widowed);(occupation, Farming-fishing);0.0013;;
U;0;(education_num, 6);(relationship, Wife);0.0013;;
