Entry;Class_Count;Nonclass_Count
('\'(27.5-34.5]\'',Private,'\'(176261.5-206692.5]\'',9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(138590-176261.5]\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Self-emp-not-inc,'\'(176261.5-206692.5]\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(138590-176261.5]\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(40.5-47.5]\'');1;1
('\'(-inf-27.5]\'',Private,'\'(206692.5-276793.5]\'',13,Married-civ-spouse,Sales,Husband,White,Male,'\'(52.5-inf)\'');1;1
('\'(52.5-inf)\'',Private,'\'(176261.5-206692.5]\'',13,Married-civ-spouse,Prof-specialty,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(39.5-45.5]\'',Private,'\'(96945-138590]\'',13,Married-civ-spouse,Exec-managerial,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(276793.5-inf)\'',12,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(138590-176261.5]\'',10,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(138590-176261.5]\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(39.5-45.5]\'',Private,'\'(-inf-96945]\'',9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,'\'(40.5-47.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(96945-138590]\'',7,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(34.5-39.5]\'',Self-emp-not-inc,'\'(176261.5-206692.5]\'',15,Married-civ-spouse,Prof-specialty,Husband,White,Male,'\'(47.5-52.5]\'');1;1
('\'(34.5-39.5]\'',Private,'\'(276793.5-inf)\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(39.5-45.5]\'',Private,'\'(176261.5-206692.5]\'',9,Married-civ-spouse,Adm-clerical,Wife,White,Female,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(96945-138590]\'',13,Never-married,Sales,Not-in-family,White,Male,'\'(39.5-40.5]\'');1;1
('\'(39.5-45.5]\'',Private,'\'(176261.5-206692.5]\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(47.5-52.5]\'');1;1
('\'(-inf-27.5]\'',Private,'\'(276793.5-inf)\'',9,Married-civ-spouse,Adm-clerical,Wife,White,Female,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(276793.5-inf)\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(176261.5-206692.5]\'',10,Never-married,Craft-repair,Not-in-family,White,Male,'\'(39.5-40.5]\'');1;1
('\'(34.5-39.5]\'',Private,'\'(96945-138590]\'',13,Married-civ-spouse,Tech-support,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(-inf-96945]\'',9,Married-civ-spouse,Transport-moving,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(45.5-52.5]\'',Private,'\'(96945-138590]\'',13,Divorced,Prof-specialty,Unmarried,White,Female,'\'(39.5-40.5]\'');1;1
('\'(34.5-39.5]\'',Private,'\'(-inf-96945]\'',13,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(206692.5-276793.5]\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(47.5-52.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(96945-138590]\'',13,Married-civ-spouse,Prof-specialty,Husband,White,Male,'\'(52.5-inf)\'');1;1
('\'(39.5-45.5]\'',Private,'\'(176261.5-206692.5]\'',9,Married-civ-spouse,Adm-clerical,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(45.5-52.5]\'',Private,'\'(-inf-96945]\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(138590-176261.5]\'',13,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(34.5-39.5]\'',Private,'\'(206692.5-276793.5]\'',13,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(-inf-96945]\'',9,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(-inf-27.5]\'',Private,'\'(-inf-96945]\'',9,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(96945-138590]\'',10,Married-civ-spouse,Exec-managerial,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(96945-138590]\'',9,Married-civ-spouse,Sales,Husband,White,Male,'\'(52.5-inf)\'');1;1
('\'(52.5-inf)\'',Private,'\'(-inf-96945]\'',9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(52.5-inf)\'',Private,'\'(276793.5-inf)\'',13,Married-civ-spouse,Sales,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(206692.5-276793.5]\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(45.5-52.5]\'',Self-emp-not-inc,'\'(206692.5-276793.5]\'',10,Married-civ-spouse,Exec-managerial,Husband,White,Male,'\'(52.5-inf)\'');1;1
('\'(52.5-inf)\'',State-gov,'\'(176261.5-206692.5]\'',14,Married-civ-spouse,Prof-specialty,Husband,White,Male,'\'(47.5-52.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(96945-138590]\'',9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,'\'(39.5-40.5]\'');1;1
('\'(34.5-39.5]\'',Private,'\'(-inf-96945]\'',10,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(39.5-40.5]\'');1;1
('\'(45.5-52.5]\'',Private,'\'(96945-138590]\'',13,Married-civ-spouse,Craft-repair,Husband,White,Male,'\'(47.5-52.5]\'');1;1
('\'(27.5-34.5]\'',Private,'\'(96945-138590]\'',13,Married-civ-spouse,Prof-specialty,Husband,White,Male,'\'(47.5-52.5]\'');1;1
