Type;Class;Variable1;Frequency;Frequency_Difference
U;1;(Distance(mi), '\'(-inf-0.0015]\'');0.824;;
U;1;(Visibility(mi), '\'(9.5-inf)\'');0.820;;
U;0;(Visibility(mi), '\'(9.5-10.25]\'');0.773;;
U;0;(Railway, False);0.471;;
U;0;(Traffic_Calming, False);0.470;;
U;0;(Amenity, False);0.469;;
U;0;(Station, False);0.466;;
U;0;(Stop, False);0.466;;
U;0;(Crossing, False);0.438;;
U;0;(Traffic_Signal, False);0.407;;
U;0;(Junction, False);0.401;;
U;0;(Distance(mi), '\'(-inf-0.0145]\'');0.375;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');0.342;;
U;1;(Pressure(in), '\'(-inf-29.715]\'');0.335;;
U;0;(Pressure(in), '\'(30.055-inf)\'');0.332;;
U;1;(Pressure(in), '\'(29.945-inf)\'');0.331;;
U;1;(Pressure(in), '\'(29.715-29.945]\'');0.331;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');0.326;;
U;0;(Distance(mi), '\'(0.0145-0.5235]\'');0.322;;
U;0;(Distance(mi), '\'(0.5235-inf)\'');0.303;;
U;1;(Temperature(F), '\'(65.5-71.3]\'');0.187;;
U;1;(Humidity(_%), '\'(72.5-82.5]\'');0.180;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');0.176;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');0.175;;
U;0;(Humidity(_%), '\'(68.5-82.5]\'');0.174;;
U;1;(Temperature(F), '\'(71.3-76.5]\'');0.173;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');0.169;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');0.168;;
U;0;(Humidity(_%), '\'(55.5-68.5]\'');0.168;;
U;1;(Temperature(F), '\'(76.5-inf)\'');0.165;;
U;1;(Temperature(F), '\'(57.5-65.5]\'');0.165;;
U;1;(Humidity(_%), '\'(59.5-72.5]\'');0.165;;
U;1;(Humidity(_%), '\'(45-59.5]\'');0.162;;
U;1;(Temperature(F), '\'(51.5-57.5]\'');0.162;;
U;1;(Humidity(_%), '\'(-inf-45]\'');0.158;;
U;0;(Temperature(F), '\'(-inf-36.95]\'');0.158;;
U;0;(Humidity(_%), '\'(43.5-55.5]\'');0.157;;
U;0;(Temperature(F), '\'(76.9-inf)\'');0.154;;
U;1;(Temperature(F), '\'(-inf-51.5]\'');0.144;;
U;0;(Humidity(_%), '\'(-inf-43.5]\'');0.143;;
U;1;(Distance(mi), '\'(0.0015-1.1785]\'');0.086;;
U;1;(Distance(mi), '\'(1.1785-inf)\'');0.086;;
U;0;(Junction, True);0.072;;
U;0;(Traffic_Signal, True);0.066;;
U;0;(Crossing, True);0.035;;
U;0;(Weather_Condition, Snow);0.014;;
U;0;(Weather_Condition, Windy);0.010;;
U;0;(Stop, True);0.007;;
U;0;(Station, True);0.006;;
U;0;(Street, Tunnel);0.004;;
U;0;(Weather_Condition, unknown);0.004;;
U;0;(Weather_Condition, 'Wintry Mix');0.004;;
U;0;(Street, on_off_ramp);0.004;;
U;0;(Amenity, True);0.003;;
U;0;(Traffic_Calming, True);0.002;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, 'Light Freezing Rain');0.001;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, 'Small Hail');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;1;(Distance(mi), Distance(mi));0.004;223.439;
D;1;(Street, Street);0.004;223.439;
D;1;(Temperature(F), Temperature(F));0.004;223.439;
D;1;(Humidity(_%), 'Humidity(\%)');0.004;223.439;
D;1;(Pressure(in), Pressure(in));0.004;223.439;
D;1;(Visibility(mi), Visibility(mi));0.004;223.439;
D;1;(Wind_Direction, Wind_Direction);0.004;223.439;
D;1;(Weather_Condition, Weather_Condition);0.004;223.439;
D;1;(Amenity, Amenity);0.004;223.439;
D;1;(Crossing, Crossing);0.004;223.439;
D;1;(Junction, Junction);0.004;223.439;
D;1;(Railway, Railway);0.004;223.439;
D;1;(Station, Station);0.004;223.439;
D;1;(Stop, Stop);0.004;223.439;
D;1;(Traffic_Calming, Traffic_Calming);0.004;223.439;
D;1;(Traffic_Signal, Traffic_Signal);0.004;223.439;
D;1;(Sunrise_Sunset, Sunrise_Sunset);0.004;223.439;
D;0;(Weather_Condition, Overcast);0.066;6.105;
