Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Sunrise_Sunset, Day);0.023;;
U;0;(Street, Interstate);(Weather_Condition, Fair);(Sunrise_Sunset, Night);0.019;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');0.018;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Sunrise_Sunset, Night);0.017;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Traffic_Signal, False);0.012;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Cloudy);0.011;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);0.009;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);0.009;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);0.009;;
U;0;(Street, local);(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.008;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Traffic_Signal, False);0.008;;
U;0;(Wind_Direction, S);(Weather_Condition, Fair);(Sunrise_Sunset, Night);0.008;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Sunrise_Sunset, Night);0.007;;
U;0;(Wind_Direction, SE);(Weather_Condition, Cloudy);(Traffic_Signal, False);0.007;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);0.007;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Calm);(Weather_Condition, Clear);0.007;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);0.007;;
U;0;(Street, Interstate);(Wind_Direction, SW);(Sunrise_Sunset, Night);0.007;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);0.007;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Drizzle);0.007;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Calm);0.007;;
U;0;(Street, Interstate);(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');0.006;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Drizzle);0.006;;
U;0;(Street, Interstate);(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Night);0.006;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Traffic_Signal, False);0.006;;
U;0;(Street, Interstate);(Wind_Direction, SW);(Weather_Condition, Fair);0.006;;
U;0;(Street, Highway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);0.006;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);0.006;;
U;0;(Street, local);(Wind_Direction, NE);(Sunrise_Sunset, Night);0.006;;
U;0;(Street, local);(Crossing, True);(Sunrise_Sunset, Night);0.006;;
U;0;(Street, large_local);(Wind_Direction, Calm);(Weather_Condition, 'Mostly Cloudy');0.006;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fair);0.006;;
U;0;(Street, Beltway);(Wind_Direction, Calm);(Junction, True);0.005;;
U;0;(Weather_Condition, Clear);(Traffic_Signal, True);(Sunrise_Sunset, Day);0.005;;
U;0;(Street, Highway);(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');0.005;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.005;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);0.005;;
U;0;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Mostly Cloudy');0.005;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Day);0.005;;
U;0;(Street, Highway);(Wind_Direction, W);(Weather_Condition, Fair);0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);(Sunrise_Sunset, Night);0.005;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.005;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Drizzle);0.005;;
U;0;(Street, Interstate);(Wind_Direction, NW);(Weather_Condition, Cloudy);0.005;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Sunrise_Sunset, Night);0.005;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);0.005;;
U;0;(Wind_Direction, S);(Weather_Condition, Clear);(Sunrise_Sunset, Day);0.005;;
U;0;(Wind_Direction, Calm);(Crossing, True);(Sunrise_Sunset, Night);0.005;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');0.005;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fair);0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Traffic_Signal, True);(Sunrise_Sunset, Night);0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Night);0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Cloudy);0.005;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');0.005;;
U;0;(Street, large_local);(Wind_Direction, NE);(Weather_Condition, Cloudy);0.004;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Calm);(Weather_Condition, Drizzle);0.004;;
U;0;(Street, large_local);(Wind_Direction, S);(Weather_Condition, Fair);0.004;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Weather_Condition, Drizzle);0.004;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Junction, True);0.004;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Traffic_Signal, True);(Sunrise_Sunset, Night);0.004;;
U;0;(Street, Interstate);(Wind_Direction, S);(Sunrise_Sunset, Night);0.004;;
U;0;(Street, Beltway);(Wind_Direction, S);(Sunrise_Sunset, Night);0.004;;
U;0;(Street, Beltway);(Wind_Direction, SW);(Sunrise_Sunset, Night);0.004;;
U;0;(Street, Highway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NW);0.004;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);0.004;;
U;0;(Street, large_local);(Wind_Direction, Calm);(Junction, True);0.004;;
U;0;(Street, Interstate);(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');0.004;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);0.004;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');0.004;;
U;0;(Street, Highway);(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.004;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Cloudy);0.004;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Weather_Condition, Cloudy);0.004;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);0.004;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');0.004;;
U;0;(Street, large_local);(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');0.004;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);0.004;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);0.004;;
U;0;(Crossing, True);(Traffic_Signal, False);(Sunrise_Sunset, Night);0.004;;
U;0;(Street, large_local);(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.004;;
U;0;(Street, local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);0.004;;
U;0;(Wind_Direction, W);(Weather_Condition, Cloudy);(Crossing, False);0.004;;
U;0;(Street, local);(Wind_Direction, SE);(Weather_Condition, Cloudy);0.004;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');(Station, True);0.004;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);0.004;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Drizzle);(Traffic_Signal, False);0.004;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Day);0.004;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Fair);0.004;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Cloudy);(Junction, True);0.003;;
U;0;(Wind_Direction, W);(Weather_Condition, Cloudy);(Traffic_Signal, False);0.003;;
U;0;(Wind_Direction, S);(Weather_Condition, Cloudy);(Sunrise_Sunset, Night);0.003;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, E);0.003;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);0.003;;
U;0;(Weather_Condition, Cloudy);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.003;;
U;0;(Street, local);(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.003;;
