Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Wind_Direction, SE);(Weather_Condition, Fair);(Crossing, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Street, local);(Traffic_Calming, True);(Traffic_Signal, False);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Highway);(Wind_Direction, NE);(Weather_Condition, Fog);0.000;;
U;0;(Weather_Condition, Fair);(Crossing, False);(Traffic_Calming, True);0.000;;
U;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, SE);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Stop, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, Fair);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, Fog);(Crossing, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, large_local);(Weather_Condition, Fog);(Traffic_Signal, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, E);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Stop, True);0.000;;
U;0;(Street, local);(Weather_Condition, Overcast);(Stop, True);0.000;;
U;0;(Street, Highway);(Wind_Direction, SE);(Weather_Condition, Fog);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, Cloudy);(Stop, True);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Snow);(Junction, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Fair);(Stop, True);0.000;;
U;0;(Street, Tunnel);(Wind_Direction, Calm);(Weather_Condition, Fair);0.000;;
U;0;(Street, Highway);(Wind_Direction, S);(Weather_Condition, Haze);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Street, large_local);(Wind_Direction, SE);(Weather_Condition, Rain);0.000;;
U;1;(Street, local);(Weather_Condition, 'Heavy Rain');(Junction, True);0.000;;
U;0;(Street, local);(Wind_Direction, W);(Weather_Condition, Snow);0.000;;
U;0;(Street, large_local);(Wind_Direction, SW);(Stop, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Clear);(Crossing, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Stop, True);0.000;;
U;0;(Street, local);(Weather_Condition, 'Mostly Cloudy');(Traffic_Calming, True);0.000;;
