Type;Class;Variable1;Variable2;Frequency;Frequency_Difference
U;0;(Street, Interstate);(Weather_Condition, Thunder);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Cloudy);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, unknown);0.000;;
U;0;(Street, Beltway);(Weather_Condition, Snow);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Railway, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, Snow);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Weather_Condition, 'Heavy Rain');(Station, True);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Weather_Condition, Rain);(Crossing, True);0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, 'Partly Cloudy');0.000;;
U;0;(Street, Interstate);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Thunder);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Haze);0.000;;
U;0;(Street, Tunnel);(Wind_Direction, E);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Overcast);0.000;;
U;0;(Street, on_off_ramp);(Wind_Direction, W);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Wind_Direction, SW);(Traffic_Calming, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Haze);0.000;;
U;0;(Weather_Condition, 'Ice Pellets');(Junction, False);0.000;;
U;0;(Weather_Condition, Thunder);(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, Thunder);0.000;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Sleet);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Sleet);0.000;;
U;1;(Weather_Condition, 'Ice Pellets');(Junction, True);0.000;;
U;1;(Weather_Condition, 'Small Hail');(Junction, True);0.000;;
U;1;(Weather_Condition, Thunderstorms);(Stop, True);0.000;;
U;1;(Weather_Condition, 'Light Freezing Rain');(Station, True);0.000;;
U;1;(Weather_Condition, Thunderstorm);(Crossing, True);0.000;;
U;1;(Wind_Direction, E);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Weather_Condition, Thunderstorm);(Junction, True);0.000;;
U;1;(Weather_Condition, Snow);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, Overcast);(Traffic_Calming, True);0.000;;
U;0;(Street, Tunnel);(Wind_Direction, S);0.000;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Street, Beltway);(Wind_Direction, unknown);0.000;;
U;0;(Street, large_local);(Weather_Condition, Thunder);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Wind_Direction, N);(Railway, True);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Weather_Condition, Clear);(Railway, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, unknown);0.000;;
U;0;(Street, Tunnel);(Wind_Direction, N);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, S);(Railway, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Windy);0.000;;
U;0;(Street, Highway);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Thunder);0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Fog);0.000;;
U;0;(Amenity, True);(Railway, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Snow and Sleet');0.000;;
