Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Wind_Direction, N);(Crossing, True);0.001;;
U;1;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Wintry Mix');0.001;;
U;1;(Street, large_local);(Wind_Direction, NW);(Amenity, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Traffic_Calming, True);(Sunrise_Sunset, Day);0.000;;
U;1;(Wind_Direction, W);(Station, True);(Traffic_Signal, False);0.000;;
U;1;(Wind_Direction, SW);(Crossing, True);(Station, True);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Amenity, True);(Traffic_Signal, True);0.000;;
U;1;(Street, large_local);(Weather_Condition, Cloudy);(Amenity, True);0.000;;
U;0;(Street, Interstate);(Crossing, False);(Railway, True);0.000;;
U;1;(Street, on_off_ramp);(Humidity(_%), '\'(83.5-93.5]\'');(Weather_Condition, Cloudy);0.000;;
U;1;(Weather_Condition, Cloudy);(Amenity, True);(Crossing, True);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;1;(Street, local);(Humidity(_%), '\'(69.5-83.5]\'');(Traffic_Calming, True);0.000;;
U;1;(Crossing, True);(Junction, True);(Traffic_Signal, False);0.000;;
U;1;(Wind_Direction, NW);(Amenity, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(_%), '\'(83.5-93.5]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Junction, True);(Traffic_Signal, True);0.000;;
U;1;(Street, large_local);(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;1;(Street, Interstate);(Wind_Direction, Calm);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Wind_Direction, SW);(Weather_Condition, Fair);(Station, True);0.000;;
U;1;(Weather_Condition, 'Mostly Cloudy');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;1;(Street, Highway);(Wind_Direction, S);(Weather_Condition, Haze);0.000;;
U;1;(Street, large_local);(Wind_Direction, NE);(Amenity, True);0.000;;
U;1;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;1;(Wind_Direction, W);(Station, True);(Sunrise_Sunset, Night);0.000;;
U;1;(Wind_Direction, W);(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;1;(Street, large_local);(Wind_Direction, N);(Station, True);0.000;;
U;1;(Street, local);(Humidity(_%), '\'(69.5-83.5]\'');(Weather_Condition, Thunder);0.000;;
U;1;(Street, large_local);(Weather_Condition, Fog);(Crossing, True);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, Cloudy);(Station, True);0.000;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;1;(Street, on_off_ramp);(Humidity(_%), '\'(69.5-83.5]\'');(Weather_Condition, Cloudy);0.000;;
U;1;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Traffic_Calming, True);0.000;;
U;1;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Station, True);0.000;;
U;1;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, N);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Humidity(_%), '\'(83.5-93.5]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Interstate);(Wind_Direction, NW);(Railway, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Overcast);(Junction, False);0.000;;
U;1;(Street, Beltway);(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Tunnel);(Humidity(_%), '\'(69.5-83.5]\'');(Weather_Condition, Cloudy);0.000;;
U;1;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;1;(Humidity(_%), '\'(83.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Fog);0.000;;
U;1;(Street, local);(Weather_Condition, Haze);(Traffic_Signal, True);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Wind_Direction, SE);(Weather_Condition, Windy);0.000;;
U;1;(Weather_Condition, Windy);(Crossing, True);(Traffic_Signal, False);0.000;;
U;1;(Street, Interstate);(Wind_Direction, SE);(Weather_Condition, unknown);0.000;;
U;1;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Railway, True);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, Cloudy);(Station, True);0.000;;
U;1;(Street, local);(Wind_Direction, NW);(Traffic_Calming, True);0.000;;
U;1;(Street, Highway);(Wind_Direction, SW);(Weather_Condition, Snow);0.000;;
