Type;Class;Variable1;Frequency;Frequency_Difference;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');0.786;;
U;0;(Visibility(mi), '\'(9.5-inf)\'');0.772;;
U;1;(Distance(mi), '\'(-inf-0.0005]\'');0.593;;
U;0;(Railway, False);0.368;;
U;0;(Traffic_Calming, False);0.367;;
U;0;(Distance(mi), '\'(-inf-0.0585]\'');0.367;;
U;0;(Amenity, False);0.365;;
U;0;(Station, False);0.363;;
U;0;(Stop, False);0.362;;
U;0;(Crossing, False);0.338;;
U;0;(Pressure(in), '\'(29.805-30.045]\'');0.337;;
U;1;(Pressure(in), '\'(30.095-inf)\'');0.337;;
U;1;(Pressure(in), '\'(-inf-29.885]\'');0.337;;
U;0;(Pressure(in), '\'(-inf-29.805]\'');0.334;;
U;0;(Distance(mi), '\'(0.0585-0.6345]\'');0.330;;
U;0;(Pressure(in), '\'(30.045-inf)\'');0.329;;
U;1;(Pressure(in), '\'(29.885-30.095]\'');0.326;;
U;0;(Junction, False);0.320;;
U;0;(Traffic_Signal, False);0.312;;
U;0;(Distance(mi), '\'(0.6345-inf)\'');0.303;;
U;1;(Distance(mi), '\'(0.3075-inf)\'');0.205;;
U;1;(Distance(mi), '\'(0.0005-0.3075]\'');0.202;;
U;0;(Temperature(F), '\'(36.05-46.1]\'');0.180;;
U;0;(Humidity(_%), '\'(83.5-93.5]\'');0.178;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');0.176;;
U;0;(Humidity(_%), '\'(69.5-83.5]\'');0.176;;
U;1;(Humidity(_%), '\'(82.5-93.5]\'');0.174;;
U;1;(Temperature(F), '\'(68.95-77.95]\'');0.172;;
U;1;(Temperature(F), '\'(37.3-47.9]\'');0.171;;
U;1;(Humidity(_%), '\'(68.5-82.5]\'');0.171;;
U;1;(Temperature(F), '\'(58.9-68.95]\'');0.171;;
U;1;(Temperature(F), '\'(47.9-58.9]\'');0.169;;
U;0;(Humidity(_%), '\'(56.5-69.5]\'');0.169;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');0.168;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');0.167;;
U;0;(Humidity(_%), '\'(43.5-56.5]\'');0.166;;
U;1;(Humidity(_%), '\'(44.5-56.5]\'');0.166;;
U;1;(Temperature(F), '\'(-inf-37.3]\'');0.162;;
U;1;(Humidity(_%), '\'(56.5-68.5]\'');0.161;;
U;0;(Temperature(F), '\'(-inf-36.05]\'');0.159;;
U;1;(Humidity(_%), '\'(-inf-44.5]\'');0.157;;
U;1;(Temperature(F), '\'(77.95-inf)\'');0.155;;
U;0;(Temperature(F), '\'(76.9-inf)\'');0.150;;
U;0;(Humidity(_%), '\'(-inf-43.5]\'');0.144;;
U;0;(Traffic_Signal, True);0.057;;
U;0;(Junction, True);0.049;;
U;0;(Crossing, True);0.031;;
U;0;(Stop, True);0.006;;
U;0;(Station, True);0.006;;
U;0;(Amenity, True);0.003;;
U;0;(Traffic_Calming, True);0.002;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, Sleet);0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;0;(Street, on_off_ramp);0.004;18.337;
D;1;(Weather_Condition, 'Ice Pellets');0.001;13.588;
D;0;(Amenity, True);0.005;7.743;
