Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Wintry Mix');0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Station, True);0.001;;
U;0;(Weather_Condition, Fair);(Railway, True);0.001;;
U;0;(Wind_Direction, SW);(Station, True);0.001;;
U;0;(Street, local);(Railway, True);0.001;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Wintry Mix');0.001;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Wintry Mix');0.001;;
U;0;(Railway, True);(Station, True);0.001;;
U;0;(Weather_Condition, Drizzle);(Stop, True);0.000;;
U;0;(Weather_Condition, Windy);(Crossing, True);0.000;;
U;0;(Station, True);(Traffic_Calming, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Windy);0.000;;
U;0;(Weather_Condition, Fog);(Stop, True);0.000;;
U;0;(Wind_Direction, N);(Traffic_Calming, True);0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;1;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Weather_Condition, Cloudy);(Railway, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Railway, True);(Stop, True);0.000;;
U;0;(Wind_Direction, Variable);(Stop, True);0.000;;
U;0;(Street, Highway);(Railway, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Wintry Mix');(Traffic_Signal, True);0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Wind_Direction, NE);(Railway, True);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Railway, True);0.000;;
U;0;(Weather_Condition, Snow);(Stop, True);0.000;;
U;0;(Weather_Condition, Fog);(Station, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, Interstate);(Station, True);0.000;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Railway, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Railway, True);0.000;;
U;0;(Weather_Condition, Haze);(Crossing, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Windy);0.000;;
U;0;(Street, Highway);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Light Freezing Rain');0.000;;
