Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Clear);0.002;;
U;0;(Street, Beltway);(Wind_Direction, SE);(Weather_Condition, Cloudy);0.002;;
U;0;(Street, Beltway);(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Overcast);0.002;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Overcast);0.001;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Street, Beltway);(Wind_Direction, W);(Weather_Condition, Clear);0.001;;
U;0;(Street, Beltway);(Wind_Direction, SE);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Beltway);(Wind_Direction, S);(Weather_Condition, Clear);0.001;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Windy);0.001;;
U;0;(Street, Beltway);(Wind_Direction, S);(Weather_Condition, Overcast);0.001;;
U;0;(Street, Highway);(Wind_Direction, Variable);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, Fog);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, large_local);(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Thunderstorms);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Weather_Condition, 'Heavy Rain');0.001;;
U;0;(Street, Interstate);(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);(Weather_Condition, Fair);0.001;;
U;0;(Street, Beltway);(Wind_Direction, NE);(Weather_Condition, Clear);0.001;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Beltway);(Wind_Direction, N);(Weather_Condition, Overcast);0.001;;
U;0;(Street, local);(Weather_Condition, Overcast);(Junction, True);0.001;;
U;0;(Weather_Condition, Fair);(Railway, True);(Sunrise_Sunset, Day);0.001;;
U;1;(Weather_Condition, 'Scattered Clouds');(Station, True);(Sunrise_Sunset, Night);0.001;;
U;1;(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, NE);(Weather_Condition, unknown);0.001;;
