Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;1;(Humidity(%), '\'(43.5-55.5]\'');(Railway, True);0.000;;
U;0;(Street, Interstate);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, on_off_ramp);(Wind_Direction, W);0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Interstate);(Station, True);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Windy);0.000;;
U;1;(Street, Highway);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;0;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Wind_Direction, Variable);(Railway, True);0.000;;
U;1;(Weather_Condition, Rain);(Station, True);0.000;;
U;1;(Weather_Condition, Thunderstorms);(Crossing, True);0.000;;
U;1;(Weather_Condition, Haze);(Stop, True);0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, Snow);0.000;;
U;1;(Street, Highway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, 'Heavy Rain');(Station, True);0.000;;
U;0;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Fog);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Sleet);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Fog);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Distance(mi), '\'(0.5225-inf)\'');(Weather_Condition, 'Small Hail');0.000;;
U;1;(Weather_Condition, 'Heavy Rain');(Crossing, True);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Thunder);0.000;;
U;1;(Distance(mi), '\'(0.0135-0.5225]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, Thunder);0.000;;
U;1;(Street, local);(Weather_Condition, Sleet);0.000;;
U;1;(Weather_Condition, Sleet);(Sunrise_Sunset, Night);0.000;;
U;1;(Wind_Direction, Calm);(Weather_Condition, Thunder);0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Wind_Direction, Calm);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Weather_Condition, Windy);(Station, True);0.000;;
U;1;(Weather_Condition, Thunderstorm);(Sunrise_Sunset, Night);0.000;;
U;1;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Railway, True);(Traffic_Calming, True);0.000;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Sleet);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Sleet);0.000;;
U;0;(Distance(mi), '\'(-inf-0.0135]\'');(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Weather_Condition, 'Small Hail');(Junction, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, unknown);0.000;;
U;0;(Weather_Condition, 'Light Freezing Rain');(Station, True);0.000;;
U;0;(Weather_Condition, Thunderstorm);(Crossing, True);0.000;;
U;0;(Street, Interstate);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, Rain);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, Thunderstorm);(Junction, True);0.000;;
U;0;(Weather_Condition, Snow);(Traffic_Calming, True);0.000;;
U;1;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Thunderstorms);0.000;;
U;1;(Weather_Condition, Drizzle);(Railway, True);0.000;;
