Type;Class;Variable1;Frequency;Frequency_Difference;
U;0;(Railway, False);0.271;;
U;0;(Traffic_Calming, False);0.270;;
U;0;(Amenity, False);0.269;;
U;0;(Station, False);0.267;;
U;0;(Stop, False);0.267;;
U;0;(Crossing, False);0.246;;
U;0;(Junction, False);0.231;;
U;0;(Traffic_Signal, False);0.223;;
U;0;(Traffic_Signal, True);0.049;;
U;0;(Junction, True);0.041;;
U;0;(Crossing, True);0.026;;
U;0;(Stop, True);0.005;;
U;0;(Station, True);0.005;;
U;0;(Amenity, True);0.003;;
U;0;(Traffic_Calming, True);0.002;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, Sleet);0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;0;(Street, on_off_ramp);0.005;20.224;
D;0;(Amenity, True);0.006;9.649;
D;1;(Weather_Condition, 'Ice Pellets');0.001;9.599;
D;0;(Stop, True);0.013;5.119;
D;0;(Weather_Condition, 'Wintry Mix');0.004;5.119;
