Type;Class;Variable1;Frequency;Frequency_Difference;
U;0;(Railway, False);0.414;;
U;0;(Traffic_Calming, False);0.412;;
U;0;(Amenity, False);0.411;;
U;0;(Station, False);0.409;;
U;0;(Stop, False);0.408;;
U;0;(Crossing, False);0.381;;
U;0;(Traffic_Signal, False);0.352;;
U;0;(Junction, False);0.346;;
U;0;(Junction, True);0.068;;
U;0;(Traffic_Signal, True);0.063;;
U;0;(Crossing, True);0.033;;
U;0;(Weather_Condition, Snow);0.014;;
U;0;(Weather_Condition, Windy);0.010;;
U;0;(Stop, True);0.007;;
U;0;(Station, True);0.006;;
U;0;(Street, Tunnel);0.004;;
U;0;(Street, on_off_ramp);0.004;;
U;0;(Weather_Condition, unknown);0.004;;
U;0;(Weather_Condition, 'Wintry Mix');0.004;;
U;0;(Amenity, True);0.004;;
U;0;(Traffic_Calming, True);0.002;;
U;0;(Railway, True);0.002;;
U;0;(Weather_Condition, 'Light Freezing Rain');0.001;;
U;0;(Railway, True);0.001;;
U;0;(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, 'Small Hail');0.000;;
U;0;(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;1;(Distance(mi), Distance(mi));0.004;204.325;
D;1;(Street, Street);0.004;204.325;
D;1;(Temperature(F), Temperature(F));0.004;204.325;
D;1;(Humidity(%), Humidity(%));0.004;204.325;
D;1;(Pressure(in), Pressure(in));0.004;204.325;
D;1;(Visibility(mi), Visibility(mi));0.004;204.325;
D;1;(Wind_Direction, Wind_Direction);0.004;204.325;
D;1;(Weather_Condition, Weather_Condition);0.004;204.325;
D;1;(Amenity, Amenity);0.004;204.325;
D;1;(Crossing, Crossing);0.004;204.325;
D;1;(Junction, Junction);0.004;204.325;
D;1;(Railway, Railway);0.004;204.325;
D;1;(Station, Station);0.004;204.325;
D;1;(Stop, Stop);0.004;204.325;
D;1;(Traffic_Calming, Traffic_Calming);0.004;204.325;
D;1;(Traffic_Signal, Traffic_Signal);0.004;204.325;
D;1;(Sunrise_Sunset, Sunrise_Sunset);0.004;204.325;
D;0;(Distance(mi), '\'(0.0135-0.5225]\'');0.320;17.535;
D;0;(Temperature(F), '\'(-inf-36.95]\'');0.156;10.711;
D;0;(Weather_Condition, Overcast);0.070;6.437;
