Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, Fair);0.045;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Sunrise_Sunset, Night);0.038;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Wind_Direction, SW);0.033;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Clear);0.031;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Clear);0.021;;
U;0;(Street, Highway);(Weather_Condition, Clear);0.020;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, W);0.020;;
U;0;(Weather_Condition, Drizzle);(Sunrise_Sunset, Night);0.019;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Drizzle);0.018;;
U;0;(Wind_Direction, NW);(Weather_Condition, Clear);0.018;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Weather_Condition, Clear);0.018;;
U;0;(Street, Interstate);(Weather_Condition, Clear);0.016;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, Clear);0.015;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, Drizzle);0.014;;
U;0;(Street, Highway);(Weather_Condition, Drizzle);0.013;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, SE);0.012;;
U;0;(Street, Beltway);(Weather_Condition, Clear);0.012;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, 'Scattered Clouds');0.012;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Partly Cloudy');0.011;;
U;0;(Street, Interstate);(Wind_Direction, N);0.011;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Clear);0.011;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, S);0.010;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Weather_Condition, Drizzle);0.010;;
U;0;(Wind_Direction, E);(Sunrise_Sunset, Night);0.010;;
U;0;(Wind_Direction, W);(Weather_Condition, Clear);0.010;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, SE);0.010;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, N);0.009;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Partly Cloudy');0.009;;
U;0;(Weather_Condition, Clear);(Junction, True);0.009;;
U;0;(Street, Beltway);(Wind_Direction, SE);0.009;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Rain);0.009;;
U;0;(Street, Interstate);(Weather_Condition, 'Scattered Clouds');0.009;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, W);0.008;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, 'Scattered Clouds');0.008;;
U;0;(Street, large_local);(Weather_Condition, 'Scattered Clouds');0.008;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Clear);0.008;;
U;0;(Humidity(%), '\'(55.5-68.5]\'');(Weather_Condition, 'Scattered Clouds');0.008;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Wind_Direction, Variable);0.008;;
U;0;(Weather_Condition, Fog);(Sunrise_Sunset, Night);0.007;;
U;0;(Street, Highway);(Weather_Condition, 'Scattered Clouds');0.007;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Weather_Condition, 'Scattered Clouds');0.007;;
U;0;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, 'Scattered Clouds');0.007;;
U;0;(Wind_Direction, W);(Junction, True);0.007;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, NE);0.007;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Mostly Cloudy');0.006;;
U;0;(Distance(mi), '\'(-inf-0.0135]\'');(Weather_Condition, Rain);0.005;;
U;0;(Wind_Direction, E);(Weather_Condition, Drizzle);0.005;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, W);0.005;;
U;0;(Humidity(%), '\'(82.5-93.5]\'');(Weather_Condition, Rain);0.005;;
U;0;(Weather_Condition, Rain);(Sunrise_Sunset, Night);0.005;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');0.005;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, 'Scattered Clouds');0.005;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Scattered Clouds');0.005;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Rain);0.005;;
U;0;(Weather_Condition, Clear);(Crossing, True);0.005;;
U;0;(Wind_Direction, N);(Weather_Condition, Clear);0.004;;
U;0;(Wind_Direction, N);(Weather_Condition, Drizzle);0.004;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Scattered Clouds');0.004;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, Rain);0.004;;
U;0;(Street, Interstate);(Weather_Condition, Rain);0.004;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(93.5-inf)\'');0.004;;
U;0;(Street, Beltway);(Weather_Condition, 'Scattered Clouds');0.004;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Scattered Clouds');0.004;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, 'Scattered Clouds');0.004;;
