Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Distance(mi), '\'(0.0135-0.5225]\'');(Wind_Direction, Calm);(Weather_Condition, Rain);0.001;;
U;0;(Temperature(F), '\'(-inf-36.95]\'');(Wind_Direction, SE);(Weather_Condition, Cloudy);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, Thunderstorms);0.001;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Cloudy);(Crossing, True);0.001;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Windy);0.001;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Cloudy);(Traffic_Signal, True);0.001;;
U;0;(Distance(mi), '\'(0.0135-0.5225]\'');(Wind_Direction, NW);(Weather_Condition, Rain);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Street, Highway);(Crossing, True);0.001;;
U;0;(Humidity(%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Traffic_Signal, True);0.001;;
U;0;(Street, Highway);(Temperature(F), '\'(46.1-56.9]\'');(Crossing, True);0.001;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Wind_Direction, Calm);(Weather_Condition, Rain);0.001;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Fog);(Traffic_Signal, True);0.001;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.001;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');(Crossing, True);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Street, Tunnel);(Pressure(in), '\'(-inf-29.815]\'');0.001;;
U;1;(Street, Interstate);(Crossing, False);(Railway, True);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Street, Tunnel);(Weather_Condition, Fair);0.001;;
U;0;(Weather_Condition, Fair);(Crossing, False);(Traffic_Calming, True);0.001;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Windy);0.001;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Wind_Direction, N);(Crossing, True);0.001;;
U;0;(Distance(mi), '\'(0.0135-0.5225]\'');(Street, Beltway);(Weather_Condition, Rain);0.001;;
U;0;(Street, Highway);(Wind_Direction, NE);(Weather_Condition, Fog);0.001;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Wind_Direction, Variable);(Crossing, True);0.001;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Wind_Direction, N);(Weather_Condition, Rain);0.001;;
U;0;(Humidity(%), '\'(68.5-82.5]\'');(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Distance(mi), '\'(0.0135-0.5225]\'');(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Haze);0.000;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Wind_Direction, NE);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;0;(Street, Highway);(Wind_Direction, SE);(Crossing, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, Fog);(Traffic_Signal, True);0.000;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Wind_Direction, SE);(Weather_Condition, Rain);0.000;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;0;(Distance(mi), '\'(0.5225-inf)\'');(Street, large_local);(Weather_Condition, Windy);0.000;;
U;0;(Distance(mi), '\'(0.0135-0.5225]\'');(Temperature(F), '\'(-inf-36.95]\'');(Weather_Condition, Rain);0.000;;
U;0;(Distance(mi), '\'(-inf-0.0135]\'');(Weather_Condition, Clear);(Traffic_Calming, True);0.000;;
U;0;(Street, local);(Humidity(%), '\'(55.5-68.5]\'');(Weather_Condition, unknown);0.000;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Weather_Condition, 'Mostly Cloudy');(Station, True);0.000;;
U;0;(Humidity(%), '\'(82.5-93.5]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
