Type;Class;Variable1;Frequency;Frequency_Difference;
U;0;(Weather_Condition, Snow);0.013;;
U;0;(Weather_Condition, Windy);0.010;;
U;0;(Street, Tunnel);0.005;;
U;0;(Street, on_off_ramp);0.005;;
U;0;(Weather_Condition, unknown);0.004;;
U;0;(Weather_Condition, 'Wintry Mix');0.004;;
U;0;(Railway, True);0.003;;
U;0;(Weather_Condition, 'Light Freezing Rain');0.002;;
U;0;(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, 'Small Hail');0.000;;
U;0;(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Light Snow and Sleet');0.000;;
U;0;(Weather_Condition, Hail);0.000;;
U;0;(Weather_Condition, 'Freezing Rain');0.000;;
U;0;(Weather_Condition, 'Snow Grains');0.000;;
U;0;(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;0;(Weather_Condition, 'Showers in the Vicinity');0.000;;
D;0;(Temperature(F), '\'(-inf-36.95]\'');0.155;10.596;
D;0;(Weather_Condition, Overcast);0.076;6.901;
