Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, Fair);0.043;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Sunrise_Sunset, Night);0.039;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Clear);0.032;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Clear);0.021;;
U;0;(Street, Highway);(Weather_Condition, Clear);0.021;;
U;0;(Weather_Condition, Drizzle);(Sunrise_Sunset, Night);0.020;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, W);0.020;;
U;0;(Weather_Condition, Clear);(Junction, True);0.019;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Drizzle);0.018;;
U;0;(Wind_Direction, NW);(Weather_Condition, Clear);0.018;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, Clear);0.016;;
U;0;(Street, Interstate);(Weather_Condition, Clear);0.016;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, Drizzle);0.014;;
U;0;(Wind_Direction, W);(Junction, True);0.013;;
U;0;(Street, Highway);(Weather_Condition, Drizzle);0.012;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, SE);0.012;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, 'Scattered Clouds');0.012;;
U;0;(Street, Beltway);(Weather_Condition, Clear);0.012;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Partly Cloudy');0.012;;
U;0;(Wind_Direction, E);(Sunrise_Sunset, Night);0.011;;
U;0;(Street, Interstate);(Wind_Direction, N);0.011;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Clear);0.011;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Weather_Condition, Drizzle);0.011;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, S);0.011;;
U;0;(Wind_Direction, W);(Weather_Condition, Clear);0.010;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, N);0.010;;
