Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Street, Beltway);(Temperature(F), '\'(76.9-inf)\'');(Wind_Direction, SE);0.002;;
U;0;(Street, Beltway);(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Overcast);0.002;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Clear);0.002;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.002;;
U;0;(Street, Beltway);(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Clear);0.002;;
U;0;(Street, Beltway);(Wind_Direction, SE);(Weather_Condition, Cloudy);0.002;;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, 'Scattered Clouds');(Junction, True);0.002;;
U;0;(Street, local);(Weather_Condition, Overcast);(Junction, True);0.001;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, Overcast);0.001;;
U;0;(Street, Interstate);(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Street, on_off_ramp);(Visibility(mi), '\'(9.5-10.25]\'');(Junction, True);0.001;;
U;0;(Street, Beltway);(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Cloudy);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, S);(Traffic_Signal, True);0.001;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, 'Heavy Rain');(Sunrise_Sunset, Day);0.001;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, W);(Weather_Condition, Cloudy);0.001;;
U;0;(Street, large_local);(Temperature(F), '\'(36.95-46.1]\'');(Station, True);0.001;;
U;0;(Street, large_local);(Humidity(%), '\'(-inf-43.5]\'');(Amenity, True);0.001;;
U;0;(Wind_Direction, Calm);(Traffic_Calming, True);(Sunrise_Sunset, Day);0.001;;
U;0;(Street, Beltway);(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Drizzle);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, SE);0.001;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Cloudy);(Crossing, True);0.001;;
U;0;(Street, Beltway);(Wind_Direction, S);(Weather_Condition, Clear);0.001;;
