Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;1;(Street, Beltway);(Weather_Condition, Thunderstorms);0.001;;
U;1;(Street, Interstate);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Weather_Condition, Windy);(Crossing, True);0.000;;
U;1;(Weather_Condition, Overcast);(Railway, True);0.000;;
U;1;(Weather_Condition, unknown);(Junction, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Weather_Condition, Rain);(Station, True);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, Haze);0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, Interstate);(Station, True);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Crossing, True);0.000;;
U;1;(Street, Beltway);(Weather_Condition, Haze);0.000;;
U;1;(Weather_Condition, Clear);(Railway, True);0.000;;
U;1;(Wind_Direction, unknown);(Weather_Condition, Drizzle);0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');(Junction, False);0.000;;
U;0;(Wind_Direction, unknown);(Traffic_Signal, True);0.000;;
U;0;(Weather_Condition, Rain);(Amenity, True);0.000;;
U;0;(Weather_Condition, Haze);(Stop, True);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;1;(Weather_Condition, 'Light Freezing Fog');(Sunrise_Sunset, Day);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, Snow);0.000;;
U;0;(Street, on_off_ramp);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Humidity(%), '\'(69.5-83.5]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, Variable);(Railway, True);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Thunder);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Rain);0.000;;
U;0;(Street, on_off_ramp);(Wind_Direction, E);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Fog);0.000;;
U;1;(Humidity(%), '\'(44.5-56.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;1;(Weather_Condition, Haze);(Station, True);0.000;;
U;1;(Weather_Condition, 'Heavy Rain');(Station, True);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, unknown);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Pressure(in), '\'(30.065-inf)\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Weather_Condition, 'Scattered Clouds');(Railway, True);0.000;;
U;1;(Temperature(F), '\'(67.4-76.9]\'');(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Pressure(in), '\'(-inf-29.835]\'');(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');(Wind_Direction, NW);0.000;;
U;1;(Street, Interstate);(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');(Weather_Condition, 'Partly Cloudy');0.000;;
U;1;(Pressure(in), '\'(-inf-29.835]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Temperature(F), '\'(67.4-76.9]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Humidity(%), '\'(69.5-83.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, Thunder);0.000;;
U;0;(Street, on_off_ramp);(Crossing, True);0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, unknown);(Station, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, 'Light Freezing Rain');(Crossing, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Pressure(in), '\'(-inf-29.835]\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Light Freezing Fog');(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, unknown);(Crossing, True);0.000;;
U;0;(Weather_Condition, Drizzle);(Railway, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Temperature(F), '\'(56.9-67.4]\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Station, True);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Stop, True);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Traffic_Calming, True);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Temperature(F), '\'(46.3-56.9]\'');(Weather_Condition, Thunder);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Railway, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Thunder);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, 'Small Hail');0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Small Hail');0.000;;
U;0;(Weather_Condition, 'Light Freezing Rain');(Station, True);0.000;;
U;0;(Weather_Condition, Haze);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, Windy);(Station, True);0.000;;
U;0;(Weather_Condition, Windy);(Amenity, True);0.000;;
U;0;(Visibility(mi), '\'(10.25-inf)\'');(Junction, True);0.000;;
U;0;(Weather_Condition, Windy);(Traffic_Calming, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Thunder);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, W);(Railway, True);0.000;;
U;0;(Temperature(F), '\'(-inf-36.95]\'');(Weather_Condition, Thunderstorms);0.000;;
U;0;(Weather_Condition, Haze);(Railway, True);0.000;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Fog);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, Fog);0.000;;
U;0;(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, 'Heavy Sleet');0.000;;
U;0;(Amenity, True);(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, 'Wintry Mix');(Stop, True);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, unknown);0.000;;
U;0;(Weather_Condition, Thunder);(Crossing, True);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Heavy Rain');(Crossing, True);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Windy);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Snow);0.000;;
U;1;(Wind_Direction, W);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Humidity(%), '\'(69.5-83.5]\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Humidity(%), '\'(69.5-83.5]\'');(Weather_Condition, 'Heavy Sleet');0.000;;
U;1;(Temperature(F), '\'(56.9-67.4]\'');(Weather_Condition, Thunder);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Weather_Condition, 'Small Hail');(Junction, True);0.000;;
U;1;(Humidity(%), '\'(44.5-56.5]\'');(Weather_Condition, Rain);0.000;;
U;1;(Humidity(%), '\'(44.5-56.5]\'');(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Visibility(mi), '\'(10.25-inf)\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Humidity(%), '\'(-inf-44.5]\'');(Weather_Condition, Rain);0.000;;
U;1;(Street, large_local);(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Humidity(%), '\'(-inf-44.5]\'');(Visibility(mi), '\'(10.25-inf)\'');0.000;;
U;1;(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Railway, True);(Traffic_Calming, True);0.000;;
U;1;(Street, Highway);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Street, Interstate);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Pressure(in), '\'(29.835-30.065]\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Temperature(F), '\'(46.3-56.9]\'');(Visibility(mi), '\'(10.25-inf)\'');0.000;;
