Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Wind_Direction, Calm);(Station, True);0.001;;
U;1;(Temperature(F), '\'(-inf-36.95]\'');(Wind_Direction, W);(Weather_Condition, Overcast);0.001;;
U;0;(Humidity(%), '\'(-inf-44.5]\'');(Wind_Direction, NW);(Amenity, True);0.001;;
U;0;(Street, local);(Pressure(in), '\'(29.835-30.065]\'');(Traffic_Calming, True);0.001;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Fair);(Amenity, True);0.001;;
U;1;(Street, large_local);(Wind_Direction, E);(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Street, on_off_ramp);(Humidity(%), '\'(44.5-56.5]\'');(Wind_Direction, NW);0.001;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Crossing, True);(Station, True);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.001;;
U;0;(Wind_Direction, NW);(Amenity, True);(Traffic_Signal, True);0.001;;
U;0;(Temperature(F), '\'(56.9-67.4]\'');(Pressure(in), '\'(29.835-30.065]\'');(Amenity, True);0.001;;
U;0;(Temperature(F), '\'(56.9-67.4]\'');(Amenity, True);(Traffic_Signal, True);0.001;;
U;0;(Street, large_local);(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.001;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Pressure(in), '\'(30.065-inf)\'');(Amenity, True);0.001;;
U;0;(Wind_Direction, SW);(Crossing, True);(Station, True);0.001;;
U;0;(Weather_Condition, Fog);(Crossing, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Highway);(Wind_Direction, S);(Weather_Condition, Haze);0.001;;
U;0;(Humidity(%), '\'(44.5-56.5]\'');(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.001;;
U;0;(Street, Highway);(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, 'Wintry Mix');0.001;;
U;1;(Temperature(F), '\'(36.95-46.3]\'');(Wind_Direction, SE);(Weather_Condition, Rain);0.001;;
U;1;(Temperature(F), '\'(67.4-76.9]\'');(Junction, True);(Traffic_Signal, True);0.001;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Pressure(in), '\'(29.835-30.065]\'');(Weather_Condition, 'Light Freezing Rain');0.001;;
U;1;(Street, Beltway);(Pressure(in), '\'(29.835-30.065]\'');(Wind_Direction, Variable);0.001;;
U;1;(Street, Interstate);(Pressure(in), '\'(-inf-29.835]\'');(Wind_Direction, unknown);0.001;;
U;0;(Humidity(%), '\'(69.5-83.5]\'');(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Humidity(%), '\'(56.5-69.5]\'');(Weather_Condition, Cloudy);(Amenity, True);0.000;;
U;0;(Wind_Direction, W);(Station, True);(Traffic_Signal, False);0.000;;
U;0;(Pressure(in), '\'(-inf-29.835]\'');(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(67.4-76.9]\'');(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.000;;
U;0;(Street, on_off_ramp);(Temperature(F), '\'(67.4-76.9]\'');(Pressure(in), '\'(-inf-29.835]\'');0.000;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(%), '\'(69.5-83.5]\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Humidity(%), '\'(69.5-83.5]\'');(Traffic_Calming, True);(Sunrise_Sunset, Day);0.000;;
U;0;(Street, on_off_ramp);(Pressure(in), '\'(30.065-inf)\'');(Junction, True);0.000;;
U;1;(Street, Tunnel);(Wind_Direction, W);(Sunrise_Sunset, Day);0.000;;
U;1;(Street, Tunnel);(Humidity(%), '\'(56.5-69.5]\'');(Junction, True);0.000;;
U;1;(Temperature(F), '\'(-inf-36.95]\'');(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;1;(Temperature(F), '\'(46.3-56.9]\'');(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, unknown);0.000;;
U;1;(Weather_Condition, 'Partly Cloudy');(Junction, True);(Traffic_Signal, True);0.000;;
U;0;(Street, large_local);(Humidity(%), '\'(56.5-69.5]\'');(Amenity, True);0.000;;
U;0;(Pressure(in), '\'(29.835-30.065]\'');(Weather_Condition, Rain);(Crossing, True);0.000;;
U;0;(Pressure(in), '\'(30.065-inf)\'');(Weather_Condition, 'Scattered Clouds');(Amenity, True);0.000;;
U;0;(Street, local);(Visibility(mi), '\'(-inf-9.5]\'');(Traffic_Calming, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Wind_Direction, Variable);(Crossing, True);0.000;;
U;0;(Temperature(F), '\'(46.3-56.9]\'');(Wind_Direction, W);(Stop, True);0.000;;
U;0;(Street, local);(Humidity(%), '\'(69.5-83.5]\'');(Traffic_Calming, True);0.000;;
U;0;(Humidity(%), '\'(69.5-83.5]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;0;(Humidity(%), '\'(44.5-56.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Station, True);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Day);0.000;;
U;0;(Humidity(%), '\'(-inf-44.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);0.000;;
U;0;(Street, Highway);(Wind_Direction, S);(Weather_Condition, Fog);0.000;;
U;0;(Street, Highway);(Wind_Direction, N);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Humidity(%), '\'(83.5-93.5]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Street, Highway);(Wind_Direction, W);(Weather_Condition, Windy);0.000;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Humidity(%), '\'(83.5-93.5]\'');(Wind_Direction, SE);(Stop, True);0.000;;
U;1;(Street, Interstate);(Crossing, False);(Railway, True);0.000;;
U;1;(Humidity(%), '\'(-inf-44.5]\'');(Wind_Direction, NW);(Weather_Condition, unknown);0.000;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Haze);(Traffic_Signal, True);0.000;;
U;1;(Street, Tunnel);(Wind_Direction, SW);(Junction, True);0.000;;
U;1;(Temperature(F), '\'(46.3-56.9]\'');(Weather_Condition, unknown);(Sunrise_Sunset, Night);0.000;;
U;1;(Pressure(in), '\'(30.065-inf)\'');(Wind_Direction, NE);(Weather_Condition, unknown);0.000;;
U;1;(Wind_Direction, E);(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Night);0.000;;
U;1;(Humidity(%), '\'(69.5-83.5]\'');(Wind_Direction, E);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Humidity(%), '\'(56.5-69.5]\'');(Amenity, True);(Sunrise_Sunset, Night);0.000;;
U;0;(Temperature(F), '\'(67.4-76.9]\'');(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, Fog);0.000;;
U;0;(Humidity(%), '\'(-inf-44.5]\'');(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;0;(Street, on_off_ramp);(Humidity(%), '\'(-inf-44.5]\'');(Pressure(in), '\'(-inf-29.835]\'');0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Wind_Direction, Calm);(Weather_Condition, Snow);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Street, Tunnel);(Humidity(%), '\'(69.5-83.5]\'');(Weather_Condition, Fair);0.000;;
U;0;(Street, Highway);(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Pressure(in), '\'(-inf-29.835]\'');(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Weather_Condition, Cloudy);(Amenity, True);0.000;;
U;0;(Street, Beltway);(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(93.5-inf)\'');0.000;;
U;0;(Street, local);(Wind_Direction, S);(Traffic_Calming, True);0.000;;
U;0;(Pressure(in), '\'(-inf-29.835]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, S);(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;0;(Street, Tunnel);(Temperature(F), '\'(46.3-56.9]\'');(Humidity(%), '\'(93.5-inf)\'');0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Humidity(%), '\'(44.5-56.5]\'');(Amenity, True);0.000;;
U;0;(Weather_Condition, Rain);(Crossing, True);(Traffic_Signal, False);0.000;;
U;0;(Temperature(F), '\'(56.9-67.4]\'');(Humidity(%), '\'(56.5-69.5]\'');(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(46.3-56.9]\'');(Wind_Direction, SE);(Station, True);0.000;;
U;0;(Pressure(in), '\'(29.835-30.065]\'');(Weather_Condition, Fog);(Crossing, True);0.000;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;0;(Humidity(%), '\'(-inf-44.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.000;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Wind_Direction, E);(Sunrise_Sunset, Night);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Wind_Direction, SW);(Weather_Condition, Rain);0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Tunnel);(Humidity(%), '\'(44.5-56.5]\'');(Pressure(in), '\'(30.065-inf)\'');0.000;;
U;1;(Street, Tunnel);(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(56.5-69.5]\'');0.000;;
U;1;(Street, local);(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, unknown);0.000;;
U;1;(Street, Tunnel);(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(93.5-inf)\'');0.000;;
U;1;(Humidity(%), '\'(44.5-56.5]\'');(Weather_Condition, unknown);(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Interstate);(Wind_Direction, Calm);(Traffic_Signal, True);0.000;;
U;1;(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(-inf-44.5]\'');(Wind_Direction, E);0.000;;
U;0;(Temperature(F), '\'(56.9-67.4]\'');(Pressure(in), '\'(-inf-29.835]\'');(Traffic_Calming, True);0.000;;
U;0;(Street, Interstate);(Wind_Direction, SW);(Weather_Condition, Thunder);0.000;;
U;0;(Humidity(%), '\'(-inf-44.5]\'');(Wind_Direction, SW);(Weather_Condition, Haze);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Wind_Direction, SW);(Stop, True);0.000;;
U;0;(Humidity(%), '\'(83.5-93.5]\'');(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.000;;
U;0;(Temperature(F), '\'(36.95-46.3]\'');(Weather_Condition, 'Partly Cloudy');(Station, True);0.000;;
U;0;(Humidity(%), '\'(83.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Fog);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Crossing, True);(Stop, True);0.000;;
