Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(Humidity(%), '\'(43.5-55.5]\'');(Railway, True);0.001;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Thunderstorm);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Interstate);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Windy);0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Street, Interstate);(Station, True);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, unknown);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Street, on_off_ramp);(Wind_Direction, W);0.000;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, Variable);(Railway, True);0.000;;
U;0;(Weather_Condition, Rain);(Station, True);0.000;;
U;1;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;1;(Humidity(%), '\'(55.5-68.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, local);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Wind_Direction, E);(Weather_Condition, Windy);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;1;(Street, large_local);(Weather_Condition, Thunder);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Heavy Rain');(Crossing, True);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Street, local);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Weather_Condition, 'Scattered Clouds');(Railway, True);0.000;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Thunderstorm);0.000;;
U;1;(Weather_Condition, 'Heavy Rain');(Station, True);0.000;;
U;1;(Weather_Condition, Drizzle);(Amenity, True);0.000;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Fog);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Thunder);0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Humidity(%), '\'(82.5-93.5]\'');(Weather_Condition, 'Heavy Sleet');0.000;;
