Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Cloudy);(Crossing, True);0.001;;
U;1;(Temperature(F), '\'(67.05-76.9]\'');(Wind_Direction, E);(Weather_Condition, Clear);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, Calm);(Station, True);0.001;;
U;0;(Weather_Condition, Cloudy);(Amenity, True);(Traffic_Signal, True);0.001;;
U;1;(Humidity(%), '\'(55.5-68.5]\'');(Wind_Direction, NE);(Weather_Condition, 'Scattered Clouds');0.001;;
U;1;(Temperature(F), '\'(46.1-56.9]\'');(Wind_Direction, Variable);(Weather_Condition, Overcast);0.001;;
U;1;(Temperature(F), '\'(67.05-76.9]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Amenity, True);(Traffic_Signal, True);0.001;;
U;0;(Street, large_local);(Weather_Condition, Cloudy);(Amenity, True);0.001;;
U;0;(Wind_Direction, SW);(Crossing, True);(Station, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);(Traffic_Calming, True);0.001;;
U;0;(Street, local);(Temperature(F), '\'(36.95-46.1]\'');(Traffic_Calming, True);0.001;;
U;0;(Street, large_local);(Wind_Direction, NW);(Amenity, True);0.001;;
U;0;(Street, large_local);(Humidity(%), '\'(55.5-68.5]\'');(Amenity, True);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Pressure(in), '\'(29.815-30.055]\'');(Amenity, True);0.001;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Humidity(%), '\'(68.5-82.5]\'');(Station, True);0.001;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, unknown);(Sunrise_Sunset, Night);0.001;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.001;;
U;1;(Street, local);(Wind_Direction, NW);(Weather_Condition, unknown);0.001;;
U;0;(Street, Beltway);(Weather_Condition, Windy);(Sunrise_Sunset, Night);0.001;;
U;0;(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.001;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Visibility(mi), '\'(-inf-9.5]\'');(Traffic_Calming, True);0.001;;
U;0;(Crossing, True);(Junction, True);(Traffic_Signal, False);0.001;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(93.5-inf)\'');(Crossing, True);0.001;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Cloudy);(Station, True);0.001;;
U;0;(Street, local);(Temperature(F), '\'(67.05-76.9]\'');(Traffic_Calming, True);0.001;;
U;0;(Humidity(%), '\'(55.5-68.5]\'');(Wind_Direction, NE);(Station, True);0.001;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Heavy Rain');(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Crossing, True);0.001;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, 'Scattered Clouds');0.001;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, Thunderstorms);0.001;;
U;1;(Temperature(F), '\'(56.9-67.05]\'');(Wind_Direction, NE);(Weather_Condition, 'Scattered Clouds');0.001;;
U;0;(Street, large_local);(Wind_Direction, N);(Station, True);0.000;;
U;0;(Wind_Direction, NW);(Amenity, True);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Wind_Direction, NW);(Traffic_Calming, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Wind_Direction, Variable);(Traffic_Signal, True);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Station, True);0.000;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Wind_Direction, NW);(Amenity, True);0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Wind_Direction, N);(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Humidity(%), '\'(82.5-93.5]\'');(Traffic_Calming, True);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Traffic_Calming, True);(Traffic_Signal, True);0.000;;
U;0;(Street, on_off_ramp);(Temperature(F), '\'(67.05-76.9]\'');(Pressure(in), '\'(-inf-29.815]\'');0.000;;
U;0;(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Fair);(Amenity, True);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Fair);(Station, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Partly Cloudy');(Amenity, True);0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, Overcast);(Crossing, True);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Fair);(Station, True);0.000;;
U;1;(Street, Tunnel);(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(68.5-82.5]\'');0.000;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(82.5-93.5]\'');(Wind_Direction, NW);0.000;;
U;1;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, unknown);(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Tunnel);(Visibility(mi), '\'(-inf-9.5]\'');(Junction, True);0.000;;
U;1;(Temperature(F), '\'(46.1-56.9]\'');(Wind_Direction, E);(Weather_Condition, 'Partly Cloudy');0.000;;
U;1;(Pressure(in), '\'(30.055-inf)\'');(Visibility(mi), '\'(9.5-10.25]\'');(Weather_Condition, Rain);0.000;;
U;1;(Street, Interstate);(Crossing, False);(Railway, True);0.000;;
U;1;(Humidity(%), '\'(82.5-93.5]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Pressure(in), '\'(29.815-30.055]\'');(Wind_Direction, SW);(Weather_Condition, Rain);0.000;;
U;0;(Street, Highway);(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Street, Highway);(Wind_Direction, N);(Crossing, True);0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Wind_Direction, W);(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(56.9-67.05]\'');(Weather_Condition, 'Partly Cloudy');(Stop, True);0.000;;
U;0;(Temperature(F), '\'(67.05-76.9]\'');(Pressure(in), '\'(-inf-29.815]\'');(Amenity, True);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Weather_Condition, Cloudy);(Station, True);0.000;;
U;0;(Street, on_off_ramp);(Temperature(F), '\'(67.05-76.9]\'');(Humidity(%), '\'(68.5-82.5]\'');0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Crossing, False);(Railway, True);0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Amenity, True);0.000;;
U;0;(Temperature(F), '\'(36.95-46.1]\'');(Humidity(%), '\'(55.5-68.5]\'');(Traffic_Calming, True);0.000;;
U;0;(Street, on_off_ramp);(Humidity(%), '\'(55.5-68.5]\'');(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, Fair);(Traffic_Calming, True);0.000;;
U;0;(Humidity(%), '\'(-inf-43.5]\'');(Visibility(mi), '\'(-inf-9.5]\'');(Crossing, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, Rain);(Traffic_Signal, True);0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Wind_Direction, Calm);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Street, local);(Humidity(%), '\'(68.5-82.5]\'');(Weather_Condition, Thunder);0.000;;
U;0;(Street, local);(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, 'Wintry Mix');(Junction, True);0.000;;
U;0;(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(55.5-68.5]\'');(Station, True);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Drizzle);(Crossing, True);0.000;;
U;0;(Humidity(%), '\'(93.5-inf)\'');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Weather_Condition, 'Partly Cloudy');(Crossing, True);(Traffic_Calming, True);0.000;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Crossing, True);(Junction, True);0.000;;
U;0;(Temperature(F), '\'(46.1-56.9]\'');(Wind_Direction, NE);(Station, True);0.000;;
U;1;(Street, Tunnel);(Visibility(mi), '\'(9.5-10.25]\'');(Wind_Direction, E);0.000;;
U;1;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, Clear);0.000;;
U;1;(Street, large_local);(Wind_Direction, Calm);(Weather_Condition, unknown);0.000;;
U;1;(Street, Tunnel);(Temperature(F), '\'(46.1-56.9]\'');(Weather_Condition, 'Mostly Cloudy');0.000;;
U;1;(Street, Interstate);(Wind_Direction, NW);(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Street, large_local);(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, unknown);0.000;;
U;1;(Street, Tunnel);(Humidity(%), '\'(55.5-68.5]\'');(Junction, True);0.000;;
U;1;(Humidity(%), '\'(93.5-inf)\'');(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Weather_Condition, 'Mostly Cloudy');(Traffic_Calming, True);(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Tunnel);(Humidity(%), '\'(82.5-93.5]\'');(Junction, True);0.000;;
U;1;(Street, Tunnel);(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(93.5-inf)\'');0.000;;
U;1;(Pressure(in), '\'(29.815-30.055]\'');(Wind_Direction, SE);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Wind_Direction, E);(Sunrise_Sunset, Night);0.000;;
U;1;(Temperature(F), '\'(-inf-36.95]\'');(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, Snow);0.000;;
U;1;(Street, Tunnel);(Wind_Direction, Calm);(Junction, True);0.000;;
U;1;(Temperature(F), '\'(-inf-36.95]\'');(Wind_Direction, N);(Weather_Condition, 'Scattered Clouds');0.000;;
U;1;(Weather_Condition, 'Partly Cloudy');(Junction, True);(Traffic_Signal, True);0.000;;
U;1;(Wind_Direction, SE);(Weather_Condition, 'Heavy Rain');(Junction, True);0.000;;
U;1;(Humidity(%), '\'(68.5-82.5]\'');(Wind_Direction, E);(Weather_Condition, Clear);0.000;;
U;1;(Pressure(in), '\'(-inf-29.815]\'');(Wind_Direction, Calm);(Weather_Condition, unknown);0.000;;
U;1;(Pressure(in), '\'(-inf-29.815]\'');(Wind_Direction, Variable);(Weather_Condition, Overcast);0.000;;
U;1;(Temperature(F), '\'(76.9-inf)\'');(Humidity(%), '\'(-inf-43.5]\'');(Weather_Condition, Overcast);0.000;;
U;1;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Thunderstorms);0.000;;
U;1;(Humidity(%), '\'(43.5-55.5]\'');(Weather_Condition, unknown);(Sunrise_Sunset, Night);0.000;;
U;1;(Humidity(%), '\'(55.5-68.5]\'');(Railway, True);(Traffic_Signal, False);0.000;;
U;1;(Street, Beltway);(Temperature(F), '\'(76.9-inf)\'');(Weather_Condition, Haze);0.000;;
U;1;(Visibility(mi), '\'(9.5-10.25]\'');(Wind_Direction, SW);(Weather_Condition, Rain);0.000;;
U;1;(Humidity(%), '\'(43.5-55.5]\'');(Wind_Direction, Variable);(Weather_Condition, 'Scattered Clouds');0.000;;
