Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
Highway,70.0,93.0,29.33,8.0,SE,Drizzle,False,False,False,False,False,False,False,False,Day
Highway,85.0,61.0,30.2,10.0,SW,Fair,False,False,True,False,False,False,False,False,Day
local,48.0,100.0,30.08,10.0,SW,unknown,False,False,False,False,False,False,False,False,Night
local,51.0,80.0,29.81,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,55.0,80.0,30.44,10.0,Variable,Clear,False,False,False,False,False,False,False,False,Night
local,50.0,100.0,29.66,5.0,NE,Drizzle,False,False,False,False,False,False,False,False,Night
local,32.0,64.0,30.57,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
local,52.0,59.0,29.99,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,True,Day
large_local,70.0,100.0,28.92,10.0,S,Thunderstorms,False,False,False,False,False,False,False,False,Day
local,37.9,43.0,30.12,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,64.0,64.0,29.37,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
Beltway,68.0,93.0,29.76,10.0,Calm,Partly Cloudy,False,False,True,False,False,False,False,False,Night
local,86.0,50.0,30.06,10.0,Calm,Scattered Clouds,False,False,False,False,False,False,False,False,Day
Highway,46.9,93.0,30.08,10.0,S,Drizzle,False,False,False,False,False,False,False,False,Night
large_local,39.2,87.0,30.13,2.5,N,Overcast,False,False,False,False,False,False,False,False,Night
Beltway,42.0,26.0,30.01,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Interstate,39.0,57.0,30.16,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
large_local,84.0,74.0,29.73,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Interstate,70.0,67.0,30.14,10.0,NE,Mostly Cloudy,False,False,True,False,False,False,False,False,Day
local,24.0,91.0,29.7,1.0,NW,Windy,False,False,False,False,False,False,False,True,Day
local,38.0,79.0,29.52,10.0,Calm,Fair,False,True,False,False,False,False,False,True,Night
Highway,30.0,33.0,29.52,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Highway,54.0,100.0,30.06,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
large_local,31.0,92.0,29.43,3.0,NE,Fair,False,False,False,False,False,False,False,False,Day
large_local,70.0,100.0,29.92,2.0,Calm,Fair,False,False,True,False,False,False,False,False,Night
large_local,41.0,79.0,29.76,10.0,NW,Fair,False,True,False,False,False,False,False,True,Day
large_local,64.0,24.0,30.03,10.0,W,Fair,False,False,False,False,False,False,False,False,Day
large_local,59.0,88.0,29.68,10.0,SW,Cloudy,False,False,False,False,False,False,False,False,Night
Beltway,43.0,36.0,30.04,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
local,49.0,83.0,30.18,10.0,N,Fair,False,False,False,False,False,False,False,True,Night
Interstate,63.0,88.0,29.88,7.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Day
local,73.0,94.0,29.9,10.0,SW,Cloudy,False,False,False,False,False,False,False,False,Night
local,56.0,90.0,29.77,10.0,N,Cloudy,False,False,False,False,False,False,False,False,Night
on_off_ramp,40.0,59.0,29.98,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
large_local,31.0,40.0,29.91,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
large_local,80.0,39.0,29.99,10.0,Variable,Fair,False,False,False,False,False,False,False,False,Day
Interstate,44.0,96.0,30.28,3.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,21.0,53.0,30.22,10.0,N,Partly Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,42.8,49.0,29.71,10.0,NW,Clear,False,False,True,False,False,False,False,False,Night
Tunnel,45.0,15.0,30.19,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
Highway,90.0,70.0,29.92,10.0,S,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,46.0,58.0,29.89,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
Highway,62.0,65.0,30.04,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
local,32.0,92.0,30.12,4.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
Interstate,77.0,89.0,29.88,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,55.9,72.0,30.2,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
Highway,69.0,31.0,30.05,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
Highway,43.0,93.0,29.95,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
Beltway,62.0,80.0,29.83,10.0,S,Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,37.0,59.0,29.95,9.0,SW,Fair,False,False,False,False,False,False,False,False,Day
large_local,87.8,40.0,29.94,10.0,NW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
local,67.0,44.0,30.01,10.0,NE,Fair,False,False,True,False,False,False,False,False,Day
large_local,75.0,94.0,29.54,10.0,Calm,Cloudy,False,False,False,False,False,False,False,True,Day
large_local,48.0,32.0,29.51,10.0,NW,Fair,False,False,False,False,False,False,False,True,Day
large_local,77.0,41.0,29.7,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
large_local,43.0,61.0,30.31,10.0,SE,Fair,False,False,True,False,False,False,False,False,Day
large_local,50.0,68.0,29.95,10.0,Variable,Fair,False,False,False,False,False,False,False,False,Night
Interstate,56.0,84.0,29.92,10.0,Calm,Drizzle,False,False,False,False,False,False,False,False,Day
local,41.0,100.0,30.2,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
local,73.0,87.0,30.06,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
Highway,55.0,91.0,29.43,10.0,NW,Cloudy,False,False,True,False,False,False,False,False,Day
local,46.0,54.0,30.13,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
Beltway,37.0,62.0,30.38,10.0,N,Partly Cloudy,False,False,False,False,False,False,False,False,Night
local,55.4,94.0,29.81,4.0,Calm,Overcast,False,False,False,False,False,False,False,False,Day
local,32.0,93.0,30.2,2.0,N,Snow,False,False,False,False,False,False,False,False,Night
Beltway,46.0,33.0,30.35,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Day
Highway,62.6,72.0,30.12,10.0,SW,Overcast,False,False,False,False,False,False,False,False,Day
Interstate,82.0,65.0,29.32,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Beltway,44.0,73.0,30.2,10.0,Calm,Cloudy,False,False,True,False,False,False,False,False,Night
Interstate,70.0,53.0,29.99,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
large_local,29.0,54.0,29.86,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Highway,70.0,100.0,29.86,10.0,NE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,72.0,100.0,29.02,9.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
large_local,43.0,49.0,30.08,10.0,SE,Overcast,False,False,False,False,False,False,False,False,Day
local,50.0,50.0,29.88,10.0,W,Mostly Cloudy,False,False,True,False,False,False,False,False,Day
Highway,74.0,55.0,29.79,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
large_local,39.2,93.0,30.42,4.0,SW,Overcast,False,False,False,False,False,False,False,True,Day
Highway,43.0,46.0,30.01,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
Highway,40.0,50.0,30.28,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
local,39.0,84.0,29.77,10.0,SW,Mostly Cloudy,False,False,False,False,False,True,False,False,Day
large_local,59.0,51.0,29.71,10.0,W,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
Highway,75.0,69.0,29.61,10.0,S,Drizzle,False,False,False,False,False,False,False,False,Day
Interstate,59.0,96.0,30.16,3.0,NE,Drizzle,False,False,False,False,False,False,False,False,Night
Highway,63.0,67.0,29.67,10.0,Calm,Cloudy,False,False,True,False,False,False,False,False,Night
Highway,47.0,80.0,29.55,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
local,73.0,69.0,29.59,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
Beltway,33.1,89.0,30.35,4.0,SE,Drizzle,False,False,True,False,False,False,False,False,Day
Highway,75.2,65.0,29.85,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,32.0,92.0,29.56,0.25,N,Snow,False,False,False,False,False,False,False,False,Day
