Type,Class,Variable1,Variable2,Variable3,Frequency
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Weather_Condition, Fair)",0.124
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Junction, False)",0.193
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Station, False)",0.215
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Traffic_Calming, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Railway, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Stop, False)",0.215
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Amenity, False)",0.212
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Junction, False)",0.303
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Railway, False)",0.343
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Station, False)",0.336
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Stop, False)",0.336
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Amenity, False)",0.339
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Traffic_Calming, False)",0.339
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Crossing, False)",0.179
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Junction, False)",0.248
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Stop, False)",0.285
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Traffic_Calming, False)",0.285
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Railway, False)",0.285
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Station, False)",0.277
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Amenity, False)",0.277
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Traffic_Signal, False)",0.23
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Weather_Condition, Cloudy)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Crossing, False)",0.274
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Traffic_Signal, False)",0.142
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Crossing, False)",0.241
D,1,"(Weather_Condition, Fair)","(Traffic_Signal, True)","(Sunrise_Sunset, Day)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Traffic_Signal, False)",0.186
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Crossing, False)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Junction, False)",0.325
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Junction, False)",0.204
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Stop, False)",0.113
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Sunrise_Sunset, Day)",0.186
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Railway, False)",0.113
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Traffic_Calming, False)",0.113
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Sunrise_Sunset, Day)",0.314
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Junction, False)",0.376
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Station, False)",0.354
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Junction, False)",0.131
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Railway, False)",0.358
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Traffic_Calming, False)",0.358
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Station, False)",0.109
D,1,"(Crossing, True)","(Traffic_Signal, True)","(Sunrise_Sunset, Day)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Amenity, False)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Amenity, False)",0.354
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Station, False)",0.38
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Stop, False)",0.38
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Railway, False)",0.391
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Junction, False)",0.193
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Traffic_Calming, False)",0.387
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Weather_Condition, Fair)",0.15
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Amenity, False)",0.383
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Station, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Stop, False)",0.343
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Traffic_Signal, False)",0.237
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Crossing, False)",0.307
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Weather_Condition, Fair)",0.153
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Amenity, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Traffic_Calming, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Railway, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Stop, False)",0.215
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Amenity, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Station, False)",0.142
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Temperature(F), '\'(67.05-76.9]\'')",0.117
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Traffic_Calming, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Railway, False)",0.219
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Traffic_Calming, False)",0.142
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Railway, False)",0.142
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Crossing, False)",0.197
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Station, False)",0.212
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Stop, False)",0.139
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Stop, False)",0.212
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Amenity, False)",0.139
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Traffic_Signal, False)",0.109
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(29.815-30.055]\'')","(Weather_Condition, Fair)",0.139
D,1,"(Pressure(in), '\'(29.815-30.055]\'')","(Traffic_Signal, True)","(Sunrise_Sunset, Day)",0.102
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Crossing, False)",0.288
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Pressure(in), '\'(-inf-29.815]\'')",0.106
D,1,"(Street, local)","(Weather_Condition, Cloudy)","(Junction, False)",0.113
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(68.5-82.5]\'')","(Traffic_Signal, False)",0.157
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Crossing, False)",0.12
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Traffic_Signal, False)",0.161
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Junction, False)","(Sunrise_Sunset, Day)",0.697
D,1,"(Street, local)","(Weather_Condition, Cloudy)","(Traffic_Calming, False)",0.117
D,1,"(Street, local)","(Traffic_Signal, True)","(Sunrise_Sunset, Day)",0.157
D,1,"(Street, local)","(Weather_Condition, Cloudy)","(Railway, False)",0.117
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(56.9-67.05]\'')","(Crossing, False)",0.182
D,1,"(Street, local)","(Weather_Condition, Cloudy)","(Station, False)",0.113
D,1,"(Crossing, True)","(Station, False)","(Sunrise_Sunset, Day)",0.139
D,1,"(Weather_Condition, Fair)","(Station, False)","(Traffic_Signal, True)",0.113
D,1,"(Street, local)","(Temperature(F), '\'(67.05-76.9]\'')","(Stop, False)",0.124
D,1,"(Distance(mi), '\'(-inf-0.0135]\'')","(Pressure(in), '\'(-inf-29.815]\'')","(Traffic_Signal, False)",0.237
