Variable1,Variable2,Variable3,Frequency
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Junction, False)",0.066
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Railway, False)",0.071
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Amenity, False)",0.071
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Traffic_Calming, False)",0.071
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Station, False)",0.07
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Crossing, False)",0.065
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Stop, False)",0.07
"(Distance(mi), '\'(0.0135-0.5225]\'')","(Weather_Condition, Clear)","(Traffic_Signal, False)",0.059
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Junction, False)",0.05
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Traffic_Calming, False)",0.055
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Railway, False)",0.055
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Station, False)",0.055
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Stop, False)",0.054
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Amenity, False)",0.054
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Crossing, False)",0.054
"(Distance(mi), '\'(0.5225-inf)\'')","(Weather_Condition, Clear)","(Traffic_Signal, False)",0.05
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Junction, False)",0.112
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Traffic_Signal, False)",0.093
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Crossing, False)",0.108
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Traffic_Calming, False)",0.113
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Station, False)",0.113
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Railway, False)",0.113
"(Distance(mi), '\'(0.5225-inf)\'')","(Street, local)","(Amenity, False)",0.112
"(Distance(mi), '\'(-inf-0.0135]\'')",,,0.419
