Variable1,Variable2,Frequency
"(Street, large_local)","(Sunrise_Sunset, Night)",0.063
"(Weather_Condition, Cloudy)","(Traffic_Signal, True)",0.079
"(Wind_Direction, NW)","(Sunrise_Sunset, Night)",0.055
"(Visibility(mi), '\'(-inf-9.5]\'')","(Sunrise_Sunset, Night)",0.079
"(Weather_Condition, Cloudy)","(Crossing, True)",0.043
"(Street, Highway)","(Sunrise_Sunset, Night)",0.067
"(Weather_Condition, Fair)","(Crossing, True)",0.072
"(Wind_Direction, Variable)","(Junction, False)",0.068
"(Crossing, True)","(Sunrise_Sunset, Day)",0.144
"(Weather_Condition, Fair)","(Traffic_Signal, True)",0.115
"(Traffic_Signal, True)","(Sunrise_Sunset, Day)",0.245
"(Crossing, True)","(Traffic_Signal, True)",0.112
