Class,Distance(mi),Street,Temperature(F),'Humidity(\%)',Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1,'\'(-inf-0.1775]\'',large_local,'\'(46.2-56.5]\'','\'(-inf-46.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',SW,Clear,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(66.1-75.95]\'','\'(46.5-58.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',W,Clear,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Beltway,'\'(75.95-inf)\'','\'(70.5-84.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',NE,Overcast,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(46.5-58.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(70.5-84.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(-inf-0.1775]\'',large_local,'\'(66.1-75.95]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Variable,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(75.95-inf)\'','\'(70.5-84.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',local,'\'(75.95-inf)\'','\'(-inf-46.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',NW,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(66.1-75.95]\'','\'(84.5-93.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Haze,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(66.1-75.95]\'','\'(70.5-84.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',Variable,Cloudy,False,False,False,False,False,False,False,False,Night
