Variable1,Variable2,Variable3,Frequency
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Weather_Condition, Fair)",0.124
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Junction, False)",0.193
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Station, False)",0.215
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Traffic_Calming, False)",0.219
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Railway, False)",0.219
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Stop, False)",0.215
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Amenity, False)",0.212
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Junction, False)",0.303
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Railway, False)",0.343
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Station, False)",0.336
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Stop, False)",0.336
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Amenity, False)",0.339
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Traffic_Calming, False)",0.339
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Crossing, False)",0.179
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Junction, False)",0.248
"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, NE)","(Weather_Condition, Cloudy)",0.051
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Stop, False)",0.285
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Traffic_Calming, False)",0.285
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Railway, False)",0.285
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Station, False)",0.277
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Amenity, False)",0.277
"(Distance(mi), '\'(-inf-0.0135]\'')","(Humidity(%), '\'(93.5-inf)\'')","(Weather_Condition, Fair)",0.055
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Traffic_Signal, False)",0.23
"(Distance(mi), '\'(-inf-0.0135]\'')","(Wind_Direction, SW)","(Weather_Condition, Fair)",0.066
"(Distance(mi), '\'(-inf-0.0135]\'')","(Street, local)","(Weather_Condition, Cloudy)",0.109
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Fair)","(Crossing, False)",0.274
"(Pressure(in), '\'(-inf-29.815]\'')","(Wind_Direction, Variable)","(Station, False)",0.051
"(Distance(mi), '\'(-inf-0.0135]\'')","(Temperature(F), '\'(67.05-76.9]\'')","(Wind_Direction, SW)",0.066
"(Distance(mi), '\'(-inf-0.0135]\'')","(Weather_Condition, Cloudy)","(Traffic_Signal, False)",0.142
"(Pressure(in), '\'(-inf-29.815]\'')","(Wind_Direction, Variable)","(Stop, False)",0.051
"(Pressure(in), '\'(-inf-29.815]\'')","(Wind_Direction, Variable)","(Railway, False)",0.051
