Variable1,Variable2,Variable3,Frequency
"(Street, local)","(Weather_Condition, Cloudy)","(Junction, False)",0.112
"(Street, local)","(Weather_Condition, Cloudy)","(Traffic_Calming, False)",0.115
"(Street, local)","(Weather_Condition, Cloudy)","(Railway, False)",0.115
"(Street, local)","(Weather_Condition, Cloudy)","(Station, False)",0.112
"(Street, local)","(Weather_Condition, Cloudy)","(Stop, False)",0.108
"(Street, local)","(Weather_Condition, Cloudy)","(Amenity, False)",0.108
"(Crossing, True)","(Sunrise_Sunset, Day)",,0.144
"(Weather_Condition, Fair)","(Traffic_Signal, True)",,0.115
"(Traffic_Signal, True)","(Sunrise_Sunset, Day)",,0.245
"(Crossing, True)","(Traffic_Signal, True)",,0.112
