Type, Class, Variable1                            , Variable2                                , Variable3                 , Frequency
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Traffic_Signal, False)" ,     0.057
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Traffic_Signal, False)" ,     0.101
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Crossing, False)"       ,     0.06
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Stop, False)"           ,     0.061
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Station, False)"        ,     0.061
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Amenity, False)"        ,     0.061
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Traffic_Calming, False)",     0.061
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Crossing, False)"       ,     0.104
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, 'Scattered Clouds')", "(Railway, False)"        ,     0.061
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Clear)"             , "(Traffic_Signal, False)" ,     0.122
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Humidity(%), '\'(-inf-43.5]\'')"       , "(Traffic_Signal, False)" ,     0.098
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Humidity(%), '\'(43.5-55.5]\'')"       , "(Traffic_Signal, False)" ,     0.113
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Wind_Direction, S)"                    , "(Traffic_Signal, False)" ,     0.05
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Temperature(F), '\'(76.9-inf)\'')"     , "(Traffic_Signal, False)" ,     0.12
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Station, False)"        ,     0.106
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Stop, False)"           ,     0.106
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Amenity, False)"        ,     0.106
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Traffic_Calming, False)",     0.106
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Weather_Condition, Overcast)"          , "(Railway, False)"        ,     0.106
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Wind_Direction, SE)"                   , "(Traffic_Signal, False)" ,     0.066
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Pressure(in), '\'(30.055-inf)\'')"     , "(Traffic_Signal, False)" ,     0.273
D   ,     1, "(Distance(mi), '\'(-inf-0.0135]\'')", "(Temperature(F), '\'(67.05-76.9]\'')"   , "(Traffic_Signal, False)" ,     0.126
D   ,     1, "(Weather_Condition, Overcast)"      , "(Traffic_Signal, False)"                , "(Sunrise_Sunset, Day)"   ,     0.092
