Class,Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1,0.01,Highway,46.0,50.0,30.12,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
1,0.01,local,50.0,63.0,29.72,10.0,SE,Clear,False,False,False,False,False,False,False,False,Day
1,0.0,local,53.6,44.0,30.24,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
1,0.0,local,64.9,48.0,30.4,10.0,SE,Clear,False,False,False,False,False,False,False,True,Day
1,0.0,local,55.4,100.0,30.12,0.5,Calm,Fog,False,False,False,False,False,False,False,False,Day
1,0.0,large_local,72.0,87.0,30.13,10.0,NE,Clear,False,False,False,False,False,False,False,False,Day
1,0.0,local,84.2,62.0,30.07,10.0,S,Clear,False,False,False,False,False,False,False,True,Night
1,0.0,local,59.0,100.0,30.29,10.0,Calm,Clear,False,False,False,False,True,False,False,False,Night
1,0.0,local,69.8,73.0,30.36,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
1,0.0,local,71.6,100.0,30.07,2.5,Calm,Scattered Clouds,False,False,False,False,False,False,False,False,Night
1,0.0,large_local,84.0,72.0,30.05,10.0,W,Scattered Clouds,False,False,False,False,False,False,False,False,Day
1,0.0,local,87.8,58.0,30.11,7.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,local,78.8,74.0,29.92,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
1,0.0,local,73.0,84.0,29.82,10.0,SW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
1,0.0,Highway,84.9,74.0,29.97,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,local,41.7,37.0,29.97,10.0,NW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
1,0.01,large_local,69.1,38.0,29.88,10.0,W,Partly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,local,44.6,53.0,30.28,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
1,0.01,local,39.0,85.0,30.44,10.0,SW,Overcast,False,False,False,False,False,False,False,True,Day
1,0.01,local,60.8,94.0,29.81,7.0,N,Overcast,False,False,False,False,False,False,False,True,Day
1,0.0,local,75.0,100.0,30.12,5.0,E,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,Interstate,79.0,57.0,29.62,10.0,NE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,local,75.0,57.0,29.89,10.0,NE,Fair,False,False,False,False,False,False,False,False,Day
1,0.0,Highway,68.0,68.0,29.91,10.0,NE,Fair,False,False,False,False,False,False,False,True,Day
1,0.0,local,68.0,59.0,30.02,10.0,Variable,Fair,False,False,False,False,False,False,False,True,Day
1,0.0,large_local,71.0,61.0,30.16,10.0,NE,Fair,False,False,False,False,True,False,False,True,Day
1,0.0,large_local,68.0,67.0,30.16,10.0,Calm,Fair,False,True,False,False,False,False,False,True,Day
1,0.0,local,78.0,57.0,29.88,10.0,NW,Partly Cloudy,False,True,False,False,False,False,False,False,Day
1,0.0,local,78.0,81.0,29.93,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1,0.0,local,76.0,85.0,29.96,9.0,SW,Fair,False,True,False,False,False,False,False,False,Day
1,0.0,large_local,72.0,94.0,29.67,10.0,SW,Fair,False,True,False,False,False,False,False,True,Day
1,0.0,large_local,67.0,75.0,29.66,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Night
1,0.0,local,71.0,77.0,29.52,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
1,0.0,large_local,72.0,88.0,29.86,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
