Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
0.002,large_local,70.0,84.0,29.96,8.0,NE,Drizzle,False,False,False,False,False,False,False,False,Day
0.105,local,62.0,45.0,30.29,8.0,S,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.581,Interstate,33.0,42.0,30.09,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.276,Beltway,67.0,68.0,29.82,10.0,NE,Fair,False,False,False,False,False,False,False,False,Day
0.747,Highway,58.0,90.0,29.33,6.0,NW,Cloudy,False,False,False,False,False,False,False,False,Night
0.153,large_local,79.0,69.0,29.57,7.0,SW,Fair,False,False,False,False,False,False,False,False,Day
0.667,large_local,80.0,67.0,29.69,10.0,SE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.903,Highway,55.0,72.0,30.46,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.115,large_local,88.5,58.0,30.27,7.0,S,Scattered Clouds,False,True,False,False,False,False,False,False,Day
0.133,Highway,56.0,80.0,29.86,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
0.34,Interstate,32.0,100.0,30.05,2.0,SW,Wintry Mix,False,False,False,False,False,False,False,False,Day
2.357,Interstate,48.0,41.0,29.85,10.0,E,Fair,False,False,False,False,False,False,False,False,Day
0.306,Highway,31.0,94.0,29.75,8.0,Calm,Light Freezing Rain,False,False,False,False,False,False,False,False,Night
0.802,local,43.0,63.0,30.22,10.0,NW,Fair,False,False,False,False,False,True,False,False,Night
0.526,Highway,52.0,42.0,29.88,10.0,N,Fair,False,False,False,False,False,False,False,False,Day
0.375,Interstate,64.0,50.0,30.18,10.0,SW,Cloudy,False,False,True,False,False,False,False,False,Night
0.0,local,40.0,63.0,29.89,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
2.204,Interstate,46.0,73.0,29.69,10.0,N,Cloudy,False,False,False,False,False,False,False,False,Night
0.121,Highway,23.0,68.0,29.68,10.0,W,Scattered Clouds,False,False,False,False,False,False,False,False,Day
0.496,Highway,90.7,53.0,30.19,10.0,SE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.347,Highway,62.6,88.0,30.12,10.0,Calm,Overcast,False,False,False,False,False,False,False,False,Day
0.43,local,46.0,100.0,30.23,0.5,Calm,Fog,False,False,False,False,False,False,False,False,Night
0.229,Interstate,61.0,93.0,29.9,2.0,S,Drizzle,False,False,True,False,False,False,False,False,Day
2.207,Highway,87.8,43.0,29.95,10.0,N,Clear,False,False,False,False,False,False,False,False,Day
0.0,Highway,42.8,42.0,30.16,10.0,W,Clear,False,False,False,False,False,False,False,True,Night
0.395,local,82.4,89.0,29.99,10.0,E,Mostly Cloudy,False,False,False,False,False,False,False,True,Day
0.241,Interstate,28.0,87.0,29.54,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.145,local,78.0,48.0,30.05,10.0,S,Fair,False,False,False,False,False,False,False,False,Day
0.63,local,62.6,94.0,29.59,5.0,SE,Drizzle,False,False,False,False,False,False,False,False,Day
2.026,large_local,74.7,99.0,29.85,10.0,Calm,Mostly Cloudy,False,False,True,False,False,False,False,False,Night
0.191,large_local,63.0,100.0,29.7,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,True,Day
1.455,Highway,41.4,65.0,30.19,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.142,Beltway,32.0,93.0,30.12,5.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.113,local,30.2,80.0,30.14,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
2.341,large_local,46.4,100.0,30.17,2.0,NE,Overcast,False,False,False,False,False,False,False,False,Night
0.359,large_local,37.9,57.0,30.31,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
0.353,Highway,46.0,53.0,29.92,10.0,W,Cloudy,False,False,True,False,False,False,False,False,Night
3.417,local,50.0,54.0,30.17,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
0.574,local,74.0,59.0,29.84,9.0,E,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.291,local,19.4,58.0,30.58,10.0,NW,Clear,False,False,False,False,False,False,False,True,Night
0.622,Highway,61.0,75.0,29.81,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.97,Interstate,36.0,75.0,29.85,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.189,large_local,63.0,85.0,29.69,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,True,Night
0.256,local,84.0,42.0,29.88,10.0,S,Fair,False,False,False,False,False,False,False,False,Day
0.206,Highway,53.0,41.0,29.86,10.0,NE,Cloudy,False,False,False,False,False,False,False,False,Day
0.116,Highway,73.0,47.0,29.43,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.202,local,21.0,58.0,29.53,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
0.755,large_local,51.1,59.0,30.22,10.0,W,Scattered Clouds,False,False,False,False,False,False,False,False,Night
1.095,local,61.0,48.0,29.83,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.056,local,77.0,50.0,30.15,10.0,NE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.266,local,69.8,83.0,29.71,10.0,Calm,Clear,False,False,True,False,False,False,False,False,Day
1.883,Interstate,22.0,94.0,30.27,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.386,Highway,26.1,84.0,30.42,10.0,SW,Clear,False,False,False,False,False,False,False,False,Night
0.389,Interstate,34.0,56.0,30.32,10.0,NE,Cloudy,False,False,True,False,False,False,False,False,Night
0.131,local,30.0,47.0,30.04,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
1.175,large_local,80.1,60.0,29.95,10.0,NW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
0.905,local,75.0,100.0,29.9,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.304,Interstate,42.0,40.0,30.33,10.0,W,Fair,False,False,False,False,False,False,False,False,Day
0.154,local,57.0,20.0,29.72,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
0.168,Highway,64.0,63.0,29.86,5.0,S,Cloudy,False,False,False,False,False,False,False,False,Day
0.001,Interstate,60.8,100.0,30.18,7.0,NE,Overcast,False,False,True,False,False,False,False,False,Night
0.144,Beltway,51.0,77.0,29.83,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
0.403,Highway,75.0,78.0,29.73,10.0,S,Fair,False,False,False,False,False,False,False,True,Day
0.05,local,72.0,38.0,29.9,10.0,NE,Fair,False,False,False,False,False,False,False,False,Day
0.772,Interstate,69.8,100.0,30.17,10.0,NE,Overcast,False,False,False,False,False,False,False,False,Day
3.618,Highway,23.0,86.0,29.56,2.0,NW,Snow,False,False,False,False,False,False,False,False,Day
0.298,Interstate,28.0,75.0,30.31,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.112,local,23.0,93.0,30.05,10.0,Calm,Fair,False,False,False,False,True,False,False,False,Night
1.113,local,93.2,34.0,29.92,10.0,Variable,Clear,False,False,False,False,False,False,False,False,Day
0.121,local,64.0,78.0,29.88,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
0.057,Interstate,34.0,70.0,30.13,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
0.1669999999999999,local,41.0,65.0,27.0,10.0,SW,Fair,False,False,False,False,False,False,False,False,Night
0.237,Interstate,28.0,47.0,30.67,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.441,Highway,41.0,43.0,30.3,10.0,W,Fair,False,False,False,False,False,False,False,False,Day
0.304,Highway,40.0,93.0,29.64,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
2.7899999618530287,Highway,51.0,33.0,29.71,10.0,NW,Windy,False,False,False,False,False,False,False,False,Day
2.3280000000000003,large_local,32.0,56.0,29.92,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
1.113,Highway,59.0,39.0,30.13,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
0.431,Interstate,51.1,80.0,29.77,10.0,SE,Drizzle,False,False,True,False,False,False,False,False,Night
0.162,local,64.4,88.0,30.17,10.0,NE,Overcast,False,False,False,False,False,False,False,False,Day
0.434,local,68.0,76.0,29.87,10.0,W,Partly Cloudy,False,True,False,False,False,False,False,True,Night
1.5759999999999998,Interstate,41.0,29.0,29.57,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
0.133,local,80.6,84.0,30.2,10.0,SE,Scattered Clouds,False,False,False,False,False,False,False,False,Day
3.0580000000000003,Interstate,42.0,62.0,30.02,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.187,Highway,59.0,90.0,30.16,10.0,Calm,Overcast,False,False,False,False,False,False,False,False,Night
0.73,large_local,54.0,80.0,29.9,9.0,Calm,Cloudy,False,False,False,False,False,False,False,True,Day
0.072,large_local,28.0,64.0,30.43,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.784,local,46.4,93.0,29.9,10.0,SE,Rain,False,False,False,False,False,False,False,False,Night
0.976,local,70.0,78.0,29.35,10.0,SE,Cloudy,False,False,False,False,False,False,False,False,Night
