Class,Distance(mi),County,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements,Freezing
1,'\'(0.0015-1.125]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,0,0
1,'\'(0.0015-1.125]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,'\'(0.0015-1.125]\'',Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,2,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,1,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,'\'(0.0015-1.125]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Allegany,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,'\'(0.0015-1.125]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Winter,0,0,0,1,0
1,'\'(0.0015-1.125]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Spring,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,0,0,0,0,0,0,1,0,0,1,0,1,Fall,0,1,0,1,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,0,0,0,1,0,0,1,0,1,Fall,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,2,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,2,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,1,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,1,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,1,0,0,0,0,0,1,0,0,1,0,1,Fall,0,1,0,2,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,1,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,2,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,1,0,0,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,'\'(0.0015-1.125]\'',Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Wicomico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,1,0
1,'\'(-inf-0.0015]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,'\'(0.0015-1.125]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Baltimore City',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Summer,0,1,0,2,0
1,'\'(-inf-0.0015]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,'\'(-inf-0.0015]\'','Anne Arundel',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,2,0
1,'\'(-inf-0.0015]\'','St Marys',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
