Class,Distance(mi),County,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements,Freezing
1,0.01,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,0,0
1,0.01,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,0.01,Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,2,0
1,0.0,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
1,0.0,Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,0.0,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Summer,0,0,0,1,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Summer,0,0,0,0,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,0.0,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Anne Arundel,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,0.01,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,0.0,Allegany,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1,0.01,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Winter,0,0,0,1,0
1,0.01,Harford,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Spring,0,0,0,1,0
1,0.0,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
1,0.0,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
1,0.0,Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
1,0.0,Baltimore City,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Fall,0,1,0,1,0
1,0.0,Anne Arundel,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Fall,0,0,0,1,0
1,0.0,Montgomery,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,2,0
1,0.0,Baltimore City,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,2,0
1,0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,1,0
1,0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,1,0
1,0.0,Baltimore City,0,0,1,0,0,0,0,0,1,0,0,1,0,1,Fall,0,1,0,2,0
1,0.0,Montgomery,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,0.0,Anne Arundel,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,0.0,Prince Georges,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,2,0
1,0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Summer,0,0,0,1,0
1,0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,0.119999997317791,Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
1,0.0,Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1,0.0,Wicomico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,0,0,0,0
1,0.0,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,1,0
1,0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Summer,0,0,0,1,0
1,0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1,0.8399999737739563,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
