Distance(mi),County,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements,Freezing
0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,1,1,0,0
0.01,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,1,0,0,0
0.369,Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,1,Summer,0,0,0,1,0
0.0,Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0.0,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
0.442,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,1,0,0,0
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,1
0.0,Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
1.315,Prince Georges,0,0,0,0,1,0,0,0,0,0,0,0,1,Spring,0,0,1,1,0
0.75,Prince Georges,0,0,0,0,1,0,0,0,0,0,0,0,0,Winter,0,0,0,1,0
0.0,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0.0,Prince Georges,0,0,0,0,1,0,0,0,0,0,0,0,1,Spring,0,0,0,1,0
4.150000095367432,Baltimore City,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,1,0,0,0
0.7200000286102295,Baltimore City,0,0,0,0,1,0,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0.0,Harford,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
0.0,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
13.850000381469728,Cecil,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,1,0,0
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring,0,0,0,0,1
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,1,0,0
1.9099999666213991,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
1.75,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,0,1
0.0,Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,1,Summer,0,1,0,1,0
0.01,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0.0,Frederick,0,0,0,0,1,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.0,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,1,0,0,0
0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,1,0,0,0
0.01,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
0.0,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer,0,1,0,0,0
0.0,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0.01,Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,1,Spring,0,1,0,1,0
0.0,Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,0,1
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,0,0
0.065,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.01,Frederick,0,0,0,0,0,0,0,0,0,0,0,1,1,Fall,0,0,0,1,0
0.0,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,1,0,0
0.0,Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,Spring,0,0,0,1,0
1.173,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0.0,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,1,Fall,0,0,0,1,0
0.0099999997764825,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.0,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
