Distance(mi),County,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements,Freezing
0.002,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,1,0,0
0.105,Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.356,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
0.581,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,0,0
0.276,Prince Georges,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.747,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0.153,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0.667,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0.903,Wicomico,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.286,St Marys,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0.115,Prince Georges,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Summer,0,0,0,1,0
0.133,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Spring,0,0,0,0,0
0.34,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,1,0,0,0,1
2.357,Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
0.638,Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,1,0,0,0
0.306,Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,1,0,1,0,1
0.802,Queen Annes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fall,0,0,0,1,0
0.526,Calvert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0.049,Anne Arundel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
3.123,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Summer,0,1,0,0,0
1.07,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,1,0,0,0
0.375,Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Spring,0,0,0,1,0
0.0,Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,0,0
2.204,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring,0,0,0,0,0
0.015,Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spring,0,1,0,0,0
