Distance(mi),Amenity,No_Exit,Station,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements
0.0,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,1,Summer,0,0,0,1
0.254,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Winter,0,0,0,0
0.078,0,0,0,1,Summer,0,0,0,0
0.518,0,0,0,1,Winter,0,1,0,0
0.0,0,0,0,1,Winter,0,1,1,0
0.159,0,0,0,0,Fall,0,0,0,0
0.464,0,0,0,1,Spring,0,1,0,0
0.042,0,0,0,1,Summer,0,0,0,2
0.075,0,0,0,0,Fall,0,0,1,0
0.01,0,0,0,1,Winter,0,1,0,0
0.369,0,0,0,1,Summer,0,0,0,1
0.0,0,0,0,0,Fall,0,0,0,1
0.113,0,0,0,1,Fall,0,0,0,0
0.835,0,0,0,0,Fall,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Spring,0,1,0,1
0.002,0,0,0,1,Summer,0,0,1,0
0.22,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,0,Winter,0,0,0,0
0.063,0,0,0,1,Winter,0,0,0,0
0.105,0,0,0,1,Spring,0,0,0,0
0.442,0,0,0,1,Spring,0,1,0,0
0.0,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,1,Winter,0,0,0,0
0.637,0,0,0,1,Spring,0,0,0,0
0.0,1,0,1,1,Spring,0,1,0,2
0.463,0,0,0,1,Summer,0,0,0,0
0.636,0,0,0,0,Spring,0,0,0,0
0.403,0,0,0,1,Summer,0,0,0,0
0.639,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
1.686,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
1.5,0,0,0,1,Spring,0,0,0,0
0.356,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,0,Spring,0,0,0,0
1.612,0,0,0,1,Winter,0,1,0,1
0.05,0,0,0,1,Winter,0,0,0,0
2.136,0,0,0,1,Summer,0,1,0,0
0.581,0,0,0,0,Winter,0,0,0,0
0.104,0,0,0,0,Fall,0,0,0,1
