Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
Highway,75.0,82.0,29.88,10.0,Variable,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
Highway,45.0,89.0,29.44,10.0,Calm,Drizzle,False,False,False,False,False,False,False,False,Day
Interstate,91.0,66.0,29.95,10.0,SE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,80.1,71.0,29.91,10.0,NW,Partly Cloudy,False,True,False,True,False,True,False,False,Day
Interstate,37.0,62.0,30.4,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
Highway,32.0,69.0,29.66,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
local,81.0,39.0,29.66,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
large_local,85.5,66.0,30.12,10.0,SW,Clear,False,False,True,False,False,False,False,False,Day
Interstate,61.0,41.0,29.88,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,57.0,81.0,29.55,10.0,Variable,Cloudy,False,False,False,False,False,False,False,False,Day
large_local,37.9,30.0,30.13,10.0,NW,Clear,False,False,False,False,False,False,False,False,Day
Interstate,45.0,48.0,29.73,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
local,46.0,87.0,30.13,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Night
Interstate,39.0,56.0,29.93,10.0,W,Fair,False,False,False,False,False,False,False,False,Night
Beltway,62.0,70.0,30.02,10.0,NE,Mostly Cloudy,False,False,True,False,False,False,False,False,Day
local,28.0,80.0,30.15,3.0,N,Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,86.0,55.0,30.05,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
large_local,63.0,75.0,29.32,10.0,N,Fair,False,True,False,False,False,False,False,True,Day
Beltway,57.0,94.0,29.81,7.0,N,Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,70.0,35.0,30.09,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
Highway,40.0,49.0,29.5,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Highway,51.8,44.0,29.77,10.0,NW,Scattered Clouds,False,False,True,False,False,False,False,False,Day
Beltway,63.0,90.0,30.09,10.0,S,Fair,False,False,False,False,False,False,False,False,Night
large_local,40.0,93.0,29.88,6.0,E,Drizzle,False,False,False,False,False,False,False,False,Day
Interstate,35.0,72.0,30.22,10.0,NW,Cloudy,False,False,True,False,False,False,False,False,Day
local,75.9,68.0,30.02,7.0,SE,Scattered Clouds,False,False,False,False,False,False,False,False,Day
large_local,80.1,36.0,30.05,10.0,SW,Scattered Clouds,False,False,False,False,False,False,False,True,Day
Highway,32.0,100.0,29.88,2.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Day
Highway,88.0,58.0,29.72,10.0,E,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,64.0,25.0,29.95,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
Highway,62.0,96.0,29.52,10.0,E,Drizzle,False,True,False,False,False,False,False,True,Day
large_local,79.0,72.0,29.72,10.0,S,Mostly Cloudy,False,False,False,False,False,False,False,True,Day
Beltway,67.8,66.0,30.24,10.0,E,Overcast,False,False,True,False,False,False,False,False,Day
local,32.0,80.0,30.01,10.0,SW,Clear,False,False,False,False,False,False,False,False,Night
Interstate,72.0,99.0,29.94,6.0,SE,Partly Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,37.4,60.0,30.05,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
Interstate,91.9,52.0,29.88,10.0,NE,Thunderstorm,False,False,False,False,False,False,False,False,Day
Interstate,75.0,93.0,29.83,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
large_local,28.4,69.0,30.12,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
large_local,32.0,100.0,29.44,2.0,NE,Snow,False,False,False,False,False,False,False,False,Night
Beltway,37.0,49.0,30.15,10.0,W,Fair,False,False,False,False,False,False,False,False,Night
Highway,90.0,33.0,29.83,10.0,W,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,53.0,51.0,29.78,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
large_local,17.1,56.0,30.73,10.0,W,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,43.0,93.0,29.91,1.0,NE,Heavy Rain,False,False,False,False,False,False,False,False,Day
local,57.2,82.0,29.9,10.0,S,Drizzle,False,False,False,False,False,False,False,False,Day
local,64.4,94.0,30.07,7.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
