capshp,capsurf,capcol,buis,odor,gilatt,gillspac,gillsiz,gillcol,stlkshp,stlkroot,surfabovring,surfbeloring,colabovring,colbeloring,veiltyp,veilcol,ringnum,ringtyp,sporcol,pop,hab
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
