age,type_employer,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,hr_worked_per_week,label
43,Self-emp-not-inc,144928,9,Never-married,Farming-fishing,Not-in-family,White,Male,60,0
35,Private,150125,11,Divorced,Other-service,Unmarried,Black,Female,40,0
48,Private,107682,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,10,0
22,Private,181313,11,Never-married,Other-service,Not-in-family,White,Female,30,0
46,State-gov,327786,11,Divorced,Tech-support,Not-in-family,White,Female,42,0
17,Private,32763,6,Never-married,Other-service,Own-child,White,Male,15,0
18,Private,41381,9,Never-married,Sales,Own-child,White,Female,20,0
24,Private,172496,13,Never-married,Tech-support,Not-in-family,White,Male,55,0
39,Private,115422,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,0
41,Local-gov,195897,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,0
27,Self-emp-not-inc,140863,5,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
35,State-gov,211115,10,Never-married,Protective-serv,Not-in-family,Black,Male,40,0
30,Private,243165,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
17,Private,721712,6,Never-married,Other-service,Own-child,White,Male,15,0
28,Private,190367,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,0
59,Private,53481,10,Married-civ-spouse,Sales,Husband,White,Male,50,0
32,Private,140092,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
23,State-gov,61743,3,Never-married,Transport-moving,Not-in-family,White,Male,35,0
26,Private,109570,10,Separated,Sales,Unmarried,White,Female,35,0
34,State-gov,355700,9,Separated,Adm-clerical,Unmarried,White,Female,20,0
21,Private,104981,10,Never-married,Prof-specialty,Own-child,White,Male,48,0
33,Federal-gov,94193,9,Divorced,Adm-clerical,Unmarried,White,Female,40,0
58,Self-emp-not-inc,33309,9,Widowed,Farming-fishing,Not-in-family,White,Male,80,0
47,Private,122026,11,Divorced,Sales,Not-in-family,White,Male,50,0
42,Private,219288,4,Widowed,Craft-repair,Unmarried,White,Male,40,0
64,Private,312242,10,Widowed,Exec-managerial,Not-in-family,White,Female,3,0
21,Private,78170,9,Never-married,Craft-repair,Not-in-family,White,Male,42,0
65,Private,83800,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,27,0
65,Private,115890,13,Married-civ-spouse,Transport-moving,Husband,White,Male,20,0
40,Self-emp-not-inc,167081,14,Married-civ-spouse,Sales,Husband,White,Male,50,0
29,Private,340534,9,Never-married,Adm-clerical,Not-in-family,White,Female,44,0
47,Private,82797,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,0
34,Private,114955,12,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,0
42,Local-gov,340148,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0
44,Private,291568,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,40,0
39,Private,114844,13,Never-married,Sales,Not-in-family,White,Male,50,0
33,Self-emp-not-inc,155343,10,Never-married,Farming-fishing,Not-in-family,White,Male,72,0
41,Self-emp-not-inc,141327,14,Divorced,Prof-specialty,Unmarried,White,Female,35,0
31,Private,156763,9,Married-civ-spouse,Sales,Husband,White,Male,40,0
36,Private,745768,10,Never-married,Protective-serv,Unmarried,Black,Female,40,0
53,Private,274528,13,Divorced,Exec-managerial,Not-in-family,White,Male,70,0
33,Private,141490,9,Married-civ-spouse,Sales,Wife,White,Female,45,0
20,Private,301199,10,Never-married,Other-service,Own-child,White,Female,24,0
17,Private,224073,7,Never-married,Sales,Own-child,White,Male,20,0
60,Self-emp-not-inc,261119,9,Divorced,Craft-repair,Unmarried,White,Female,40,0
35,Private,181382,9,Married-civ-spouse,Craft-repair,Husband,White,Male,43,0
30,Private,30226,7,Divorced,Sales,Own-child,White,Male,40,0
19,Private,247298,8,Married-spouse-absent,Other-service,Own-child,Other,Female,20,0
38,State-gov,103925,9,Divorced,Other-service,Unmarried,White,Female,20,0
40,Self-emp-not-inc,129298,9,Married-civ-spouse,Other-service,Husband,White,Male,45,0
23,Federal-gov,41432,13,Never-married,Prof-specialty,Not-in-family,White,Female,15,0
34,Local-gov,167999,9,Divorced,Adm-clerical,Unmarried,White,Female,33,0
25,Private,240676,10,Divorced,Tech-support,Own-child,White,Female,40,0
46,Private,192208,6,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
23,Private,40060,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
33,Local-gov,224185,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
19,Private,164395,9,Never-married,Adm-clerical,Own-child,White,Female,25,0
46,Private,241844,5,Married-civ-spouse,Other-service,Husband,White,Male,40,0
48,Private,167009,10,Divorced,Adm-clerical,Not-in-family,White,Female,48,0
28,Private,408473,8,Never-married,Sales,Not-in-family,Black,Male,40,0
52,Private,202115,9,Married-civ-spouse,Other-service,Wife,White,Female,25,0
32,Private,732102,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,0
27,Local-gov,204098,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,50,0
32,Federal-gov,131534,9,Never-married,Exec-managerial,Not-in-family,Black,Female,40,0
26,Private,187248,9,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,40,0
34,Local-gov,243867,7,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,0
25,Private,144301,10,Never-married,Sales,Own-child,White,Male,42,0
38,Private,193372,10,Never-married,Exec-managerial,Own-child,White,Female,40,0
55,Private,190508,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,35,0
23,Private,52566,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
43,Private,51506,8,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
34,Private,304030,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,0
44,Private,322391,7,Separated,Other-service,Unmarried,Black,Female,30,0
40,Private,478205,13,Never-married,Prof-specialty,Other-relative,White,Female,40,0
30,Private,236861,9,Never-married,Exec-managerial,Not-in-family,White,Male,45,0
42,Private,183319,3,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
21,Private,208503,10,Never-married,Transport-moving,Own-child,White,Male,10,0
28,Local-gov,283227,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,0
34,Private,103596,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
45,Private,77764,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
30,Local-gov,261319,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
24,Self-emp-not-inc,174391,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0
24,Private,92609,13,Never-married,Exec-managerial,Own-child,White,Male,45,0
27,Private,149624,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,30,0
18,State-gov,389147,9,Never-married,Sales,Not-in-family,Black,Female,30,0
35,Private,340428,12,Never-married,Adm-clerical,Not-in-family,White,Female,35,0
42,State-gov,222884,13,Divorced,Adm-clerical,Not-in-family,White,Male,40,0
27,Private,85625,9,Never-married,Other-service,Own-child,White,Male,22,0
21,Private,394484,10,Never-married,Adm-clerical,Own-child,White,Female,40,0
22,Private,105043,10,Never-married,Adm-clerical,Unmarried,White,Female,40,0
35,Private,182074,9,Divorced,Handlers-cleaners,Own-child,White,Male,35,0
20,Private,115057,9,Never-married,Craft-repair,Not-in-family,White,Male,40,0
23,Private,353696,9,Never-married,Farming-fishing,Own-child,White,Male,40,0
23,Private,153044,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,7,0
24,Private,254767,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,0
34,Self-emp-not-inc,120672,4,Never-married,Handlers-cleaners,Unmarried,Black,Male,10,0
40,Private,128700,10,Divorced,Adm-clerical,Unmarried,White,Female,40,0
43,Self-emp-inc,260960,13,Divorced,Farming-fishing,Not-in-family,White,Male,35,0
23,Private,394612,13,Never-married,Tech-support,Own-child,Black,Male,40,0
22,Private,136824,7,Never-married,Adm-clerical,Not-in-family,White,Male,40,0
23,State-gov,110128,10,Never-married,Other-service,Own-child,White,Male,40,0
22,Private,279041,10,Never-married,Handlers-cleaners,Own-child,Black,Male,10,0
37,Local-gov,272471,9,Divorced,Adm-clerical,Unmarried,White,Female,40,0
40,Private,116632,13,Never-married,Sales,Own-child,White,Male,40,0
24,Private,222005,9,Never-married,Other-service,Other-relative,White,Male,30,0
20,Private,123901,9,Never-married,Craft-repair,Own-child,White,Female,40,0
40,Private,75363,10,Separated,Exec-managerial,Unmarried,White,Female,40,0
30,Private,183620,9,Married-civ-spouse,Sales,Husband,White,Male,45,0
38,Private,34173,13,Never-married,Sales,Unmarried,White,Female,45,0
37,Private,112554,9,Married-civ-spouse,Sales,Husband,White,Male,45,0
22,Private,217363,9,Separated,Adm-clerical,Unmarried,White,Female,40,0
44,Private,162643,9,Never-married,Adm-clerical,Not-in-family,White,Female,43,0
20,Private,117476,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
27,Private,72208,10,Never-married,Adm-clerical,Own-child,Black,Male,40,0
46,Private,166003,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
24,Local-gov,193416,10,Never-married,Protective-serv,Own-child,White,Female,40,0
35,Private,57640,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,0
29,Private,170301,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0
30,Self-emp-not-inc,79303,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,0
33,Private,198211,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,0
63,Local-gov,152163,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
57,State-gov,283635,10,Divorced,Craft-repair,Not-in-family,White,Female,40,0
54,Private,188136,13,Divorced,Sales,Not-in-family,White,Female,38,0
52,Private,443742,10,Divorced,Exec-managerial,Not-in-family,White,Male,60,0
23,Private,368739,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
55,Private,158641,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,0
54,State-gov,32778,9,Widowed,Exec-managerial,Not-in-family,White,Female,40,0
23,Private,181820,10,Never-married,Farming-fishing,Unmarried,White,Male,45,0
19,Private,208656,10,Never-married,Adm-clerical,Own-child,White,Female,20,0
52,Private,172493,9,Never-married,Sales,Not-in-family,White,Female,36,0
43,Private,190403,13,Married-civ-spouse,Other-service,Husband,White,Male,40,0
36,Private,272944,9,Never-married,Transport-moving,Not-in-family,White,Male,45,0
41,Private,82393,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,40,0
