Severity,Start_Time,Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Snow_Or_Ice,Low_Vis_Weather,Rain,Freezing?,Slowdown,Season
1,2016-11-30 12:04:03,0.01,Interstate,57.9,100.0,29.75,0.5,E,Fog,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Fall
1,2016-11-30 21:37:26,0.01,Interstate,57.2,88.0,29.64,10.0,SE,Overcast,0,0,0,0,0,0,0,0,Night,0,0,1,0,0,Fall
1,2016-11-30 22:11:30,0.01,Beltway,57.2,94.0,29.6,7.0,Calm,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Fall
1,2016-12-01 06:13:13,0.01,Interstate,50.0,74.0,29.69,10.0,W,Partly Cloudy,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-01 06:46:53,0.01,Interstate,46.4,66.0,29.72,10.0,SW,Scattered Clouds,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-01 07:22:25,0.01,large_local,48.0,74.0,29.71,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-01 07:32:59,0.01,Interstate,41.0,93.0,29.75,4.0,Calm,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-01 09:06:40,0.01,Interstate,53.6,67.0,29.76,10.0,W,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-01 09:38:12,0.01,Interstate,51.8,47.0,29.8,10.0,W,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-01 14:28:25,0.01,Interstate,57.0,42.0,29.78,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-01 18:50:23,0.01,local,44.6,61.0,29.95,10.0,NW,Mostly Cloudy,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-01 18:59:53,0.01,local,44.6,61.0,29.95,10.0,NW,Mostly Cloudy,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-02 08:36:55,0.01,Highway,46.4,53.0,30.05,10.0,W,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-02 10:16:33,0.01,Highway,44.6,53.0,30.09,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-02 11:32:01,0.01,Interstate,51.8,47.0,30.04,10.0,SW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-02 11:48:06,0.01,Beltway,51.1,41.0,30.06,10.0,W,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
