age,type_employer,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,hr_worked_per_week,label
31,Private,49923,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
35,Private,156728,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
48,Federal-gov,328606,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,0
53,Private,153486,9,Separated,Transport-moving,Not-in-family,White,Male,30,0
37,Private,198216,12,Divorced,Tech-support,Not-in-family,White,Female,40,0
45,Private,26781,9,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,40,0
50,Federal-gov,36489,10,Divorced,Exec-managerial,Unmarried,White,Male,40,0
21,Private,205759,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
36,Private,181721,6,Never-married,Farming-fishing,Own-child,Black,Male,60,0
34,Private,324254,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
39,Private,190466,9,Divorced,Craft-repair,Own-child,White,Male,40,0
26,Private,341353,13,Never-married,Other-service,Other-relative,White,Male,15,0
45,Private,178922,5,Never-married,Other-service,Not-in-family,White,Female,15,0
26,Local-gov,166295,13,Never-married,Prof-specialty,Not-in-family,White,Male,55,0
23,Private,188545,12,Never-married,Adm-clerical,Own-child,White,Female,20,0
24,Private,280960,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,24,0
20,Self-emp-inc,95997,9,Never-married,Farming-fishing,Own-child,White,Male,70,0
30,Private,248588,8,Divorced,Other-service,Not-in-family,White,Female,40,0
48,Federal-gov,96854,10,Never-married,Adm-clerical,Not-in-family,White,Male,30,0
19,Private,299050,10,Never-married,Adm-clerical,Own-child,White,Male,20,0
32,Private,176185,10,Divorced,Exec-managerial,Other-relative,White,Male,60,0
39,Private,451059,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
37,Private,127961,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,0
35,Private,328301,12,Married-AF-spouse,Adm-clerical,Wife,White,Female,40,0
35,Private,306678,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
38,Self-emp-not-inc,152621,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,0
26,Private,135645,13,Never-married,Sales,Not-in-family,White,Male,40,0
23,Private,257683,13,Never-married,Prof-specialty,Own-child,White,Male,40,0
33,Private,125761,10,Never-married,Adm-clerical,Not-in-family,White,Male,36,0
42,Self-emp-not-inc,221172,9,Divorced,Craft-repair,Not-in-family,White,Male,40,0
33,Self-emp-not-inc,124187,12,Never-married,Other-service,Not-in-family,Black,Male,32,0
46,Private,501671,6,Divorced,Machine-op-inspct,Unmarried,Black,Male,40,0
39,Private,181705,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,0
23,Private,231160,10,Never-married,Other-service,Own-child,White,Male,25,0
21,Private,182823,13,Never-married,Sales,Own-child,White,Male,30,0
35,Private,73715,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
44,Private,167725,9,Married-civ-spouse,Sales,Husband,White,Male,24,0
20,Private,155818,9,Never-married,Other-service,Own-child,White,Female,20,0
39,Private,53569,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
19,Private,97215,10,Separated,Sales,Unmarried,White,Female,25,0
45,Private,428350,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,0
24,Private,34568,11,Never-married,Transport-moving,Not-in-family,White,Male,40,0
21,Private,237051,10,Never-married,Other-service,Own-child,White,Female,25,0
54,Private,98436,14,Married-civ-spouse,Other-service,Husband,White,Male,40,0
25,Private,159732,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,0
44,Local-gov,254134,12,Divorced,Tech-support,Not-in-family,Black,Male,40,0
28,Private,189346,9,Divorced,Handlers-cleaners,Own-child,White,Male,40,0
35,Private,267891,9,Married-civ-spouse,Other-service,Wife,White,Female,38,0
56,Self-emp-not-inc,346635,14,Divorced,Sales,Unmarried,White,Female,60,0
30,Private,158688,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
20,Private,170091,10,Never-married,Adm-clerical,Own-child,White,Female,10,0
63,Private,275034,13,Married-civ-spouse,Sales,Husband,White,Male,35,0
37,Private,167482,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,0
49,Private,140121,9,Divorced,Exec-managerial,Unmarried,White,Male,50,0
47,Self-emp-not-inc,149116,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,0
19,Private,232392,9,Never-married,Other-service,Other-relative,White,Female,40,0
38,Private,289148,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,40,0
26,Private,287797,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
53,State-gov,118793,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
21,Private,253583,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
39,Private,163237,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
63,Self-emp-not-inc,181561,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,0
67,Private,150516,4,Married-civ-spouse,Craft-repair,Husband,White,Male,24,0
40,Private,208277,10,Never-married,Exec-managerial,Unmarried,White,Female,40,0
72,Private,192732,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20,0
29,Private,83517,5,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,0
36,Private,288049,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,0
48,Private,50402,10,Divorced,Machine-op-inspct,Unmarried,White,Male,40,0
46,Private,94809,10,Divorced,Priv-house-serv,Unmarried,White,Female,30,0
62,Self-emp-not-inc,120939,10,Divorced,Sales,Not-in-family,White,Male,40,0
19,Local-gov,243960,10,Never-married,Sales,Own-child,White,Female,16,0
50,Self-emp-not-inc,83311,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,0
54,State-gov,32778,9,Widowed,Exec-managerial,Not-in-family,White,Female,40,0
69,State-gov,163689,10,Married-civ-spouse,Transport-moving,Husband,White,Male,16,0
32,Local-gov,191731,10,Never-married,Adm-clerical,Unmarried,Black,Female,40,0
41,Private,170299,11,Divorced,Prof-specialty,Unmarried,White,Female,43,0
45,Private,169180,10,Widowed,Other-service,Unmarried,White,Female,45,0
28,Private,171067,9,Never-married,Handlers-cleaners,Own-child,White,Female,40,0
37,Self-emp-inc,126569,13,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
28,Private,293398,9,Separated,Sales,Unmarried,Black,Female,40,0
23,Private,202284,13,Never-married,Sales,Own-child,White,Male,20,0
46,State-gov,295791,11,Divorced,Adm-clerical,Unmarried,White,Female,38,0
42,Private,213464,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
51,Private,201127,9,Divorced,Sales,Not-in-family,White,Male,45,0
