,Severity
0,2
1,3
2,2
3,2
4,2
5,3
6,3
7,3
8,2
9,2
10,3
11,2
12,3
13,3
14,3
15,2
16,2
17,2
18,3
19,2
20,2
21,2
22,3
23,3
24,3
25,2
26,3
27,3
28,2
29,2
30,2
31,3
32,2
33,3
34,2
35,2
36,2
37,2
38,3
39,2
40,2
41,2
42,3
43,2
44,2
45,3
46,3
47,3
48,2
49,3
50,2
51,2
52,2
53,3
54,3
55,2
56,3
57,2
58,2
59,2
60,2
61,1
62,2
63,2
64,3
65,2
66,3
67,2
68,2
69,3
70,2
71,3
72,2
73,3
74,3
75,2
76,3
77,3
78,2
79,2
80,3
81,3
82,3
83,2
84,2
85,2
86,2
87,2
88,3
89,2
90,2
91,3
92,3
93,3
94,3
95,3
96,3
97,2
98,2
99,2
100,3
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,3
109,2
110,3
111,3
112,2
113,2
114,3
115,2
116,2
117,2
118,2
119,2
120,2
121,3
122,2
123,3
124,3
125,3
126,3
127,3
128,3
129,2
130,3
131,3
132,2
133,2
134,3
135,2
136,3
137,3
138,2
139,3
140,3
141,2
142,2
143,2
144,3
145,2
146,3
147,2
148,2
149,2
150,3
151,3
152,2
153,2
154,2
155,2
156,2
157,2
158,3
159,2
160,2
161,3
162,2
163,2
164,2
165,3
166,3
167,2
168,3
169,2
170,2
171,2
172,2
173,2
174,3
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,3
184,2
185,3
186,3
187,2
188,3
189,2
190,3
191,3
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,3
201,2
202,3
203,2
204,3
205,2
206,3
207,3
208,3
209,3
210,2
211,2
212,3
213,3
214,3
215,3
216,3
217,2
218,2
219,3
220,2
221,3
222,2
223,2
224,2
225,2
226,2
227,3
228,3
229,2
230,3
231,3
232,2
233,2
234,2
235,3
236,3
237,2
238,2
239,2
240,2
241,2
242,3
243,2
244,2
245,2
246,2
247,3
248,2
249,2
250,2
251,2
252,2
253,3
254,3
255,2
256,2
257,2
258,2
259,3
260,3
261,3
262,2
263,2
264,2
265,2
266,2
267,3
268,2
269,2
270,3
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,3
282,2
283,3
284,2
285,3
286,3
287,3
288,3
289,3
290,3
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,3
302,3
303,3
304,2
305,2
306,3
307,2
308,3
309,3
310,3
311,2
312,2
313,2
314,2
315,2
316,3
317,3
318,2
319,3
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,3
329,3
330,2
331,2
332,2
333,2
334,2
335,2
336,3
337,2
338,2
339,2
340,2
341,3
342,2
343,2
344,2
345,2
346,3
347,2
348,2
349,2
350,3
351,3
352,2
353,3
354,2
355,3
356,3
357,2
358,2
359,2
360,3
361,2
362,3
363,2
364,2
365,2
366,2
367,2
368,3
369,3
370,2
371,3
372,2
373,3
374,3
375,2
376,2
377,2
378,3
379,3
380,2
381,3
382,2
383,2
384,3
385,2
386,2
387,2
388,3
389,2
390,3
391,3
392,2
393,2
394,3
395,2
396,2
397,2
398,2
399,2
400,3
401,3
402,3
403,2
404,2
405,2
406,2
407,3
408,2
409,2
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,2
419,3
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,3
430,3
431,2
432,2
433,2
434,2
435,3
436,2
437,2
438,2
439,2
440,2
441,3
442,3
443,3
444,2
445,3
446,2
447,2
448,2
449,2
450,2
451,3
452,3
453,2
454,3
455,3
456,2
457,3
458,3
459,3
460,2
461,3
462,3
463,3
464,3
465,2
466,3
467,3
468,3
469,3
470,2
471,2
472,3
473,3
474,2
475,3
476,3
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,3
488,2
489,2
490,3
491,2
492,2
493,2
494,2
495,3
496,2
497,2
498,3
499,3
500,3
501,2
502,2
503,2
504,3
505,3
506,3
507,2
508,2
509,2
510,2
511,3
512,3
513,2
514,3
515,3
516,2
517,2
518,3
519,3
520,3
521,3
522,3
523,2
524,2
525,2
526,2
527,3
528,3
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,3
538,3
539,2
540,3
541,3
542,2
543,2
544,2
545,2
546,2
547,3
548,2
549,2
550,3
551,2
552,3
553,3
554,2
555,2
556,3
557,3
558,2
559,2
560,3
561,2
562,2
563,2
564,2
565,3
566,2
567,3
568,2
569,2
570,2
571,2
572,3
573,2
574,2
575,2
576,3
577,2
578,2
579,3
580,2
581,3
582,2
583,2
