age,type_employer,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,hr_worked_per_week,label
24,Private,537222,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0
22,Private,150175,10,Never-married,Adm-clerical,Own-child,White,Female,20,0
37,Private,286026,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
46,Private,234690,9,Married-civ-spouse,Sales,Husband,White,Male,40,0
53,Private,94081,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,1
67,Private,192670,9,Divorced,Sales,Not-in-family,White,Female,20,0
40,Self-emp-inc,104235,14,Never-married,Other-service,Own-child,White,Male,99,0
43,Private,253759,10,Married-civ-spouse,Tech-support,Wife,Black,Female,40,0
24,Self-emp-not-inc,34918,11,Never-married,Other-service,Unmarried,White,Female,38,0
36,Private,111499,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,1
40,Self-emp-not-inc,34037,9,Never-married,Farming-fishing,Not-in-family,White,Male,70,0
46,Private,174386,9,Never-married,Other-service,Unmarried,White,Female,24,0
38,Private,190759,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
19,Private,205829,9,Never-married,Sales,Own-child,White,Female,35,0
29,Private,112847,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,32,1
34,Private,561334,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
52,State-gov,101119,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
47,Private,214800,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
40,Private,382499,9,Divorced,Adm-clerical,Unmarried,White,Female,50,0
34,Federal-gov,191342,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,38,0
59,Self-emp-not-inc,136413,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,48,0
44,Private,192225,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
31,Private,164190,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
19,Private,264390,10,Never-married,Adm-clerical,Own-child,White,Female,40,0
24,Private,215243,13,Never-married,Adm-clerical,Not-in-family,White,Female,42,0
25,Private,98155,10,Never-married,Transport-moving,Unmarried,White,Male,40,0
40,Private,193882,11,Never-married,Machine-op-inspct,Own-child,White,Male,40,0
67,Self-emp-not-inc,106143,16,Married-civ-spouse,Sales,Husband,White,Male,40,1
24,Private,229393,7,Never-married,Farming-fishing,Unmarried,White,Male,40,0
39,Private,165186,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,0
55,Private,143030,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,0
39,Local-gov,203070,9,Separated,Protective-serv,Not-in-family,White,Male,40,0
37,Self-emp-inc,30529,13,Married-civ-spouse,Sales,Husband,White,Male,50,1
45,Private,207540,16,Separated,Exec-managerial,Unmarried,White,Male,40,1
22,Private,50058,10,Never-married,Adm-clerical,Not-in-family,White,Female,35,0
50,Private,558490,9,Divorced,Adm-clerical,Not-in-family,Black,Male,40,0
28,Private,266070,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,0
17,Private,230789,5,Never-married,Sales,Own-child,Black,Male,22,0
59,Private,160631,13,Married-civ-spouse,Craft-repair,Husband,White,Male,60,1
44,Self-emp-inc,64632,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,0
52,Private,128871,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,64,0
21,Private,334113,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,0
68,Private,148874,5,Married-civ-spouse,Craft-repair,Husband,Black,Male,44,0
45,Local-gov,148222,9,Never-married,Adm-clerical,Not-in-family,Black,Female,40,0
58,Private,94741,8,Married-civ-spouse,Other-service,Wife,White,Female,24,0
58,Federal-gov,129786,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
29,Private,137618,10,Never-married,Other-service,Not-in-family,White,Female,41,1
23,Private,284898,10,Never-married,Exec-managerial,Own-child,White,Male,30,0
31,State-gov,157673,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
29,Private,187188,14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,60,0
34,Self-emp-not-inc,156890,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0
33,Self-emp-not-inc,103860,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0
39,Private,193689,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
