age,type_employer,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,hr_worked_per_week,label
21,Private,89991,10,Never-married,Adm-clerical,Own-child,White,Female,40,0
52,Private,128272,9,Married-civ-spouse,Sales,Husband,White,Male,14,0
55,Self-emp-not-inc,141409,6,Married-civ-spouse,Sales,Husband,White,Male,50,1
29,Self-emp-not-inc,29616,9,Never-married,Farming-fishing,Own-child,White,Male,65,0
17,Private,197850,7,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,24,0
34,Private,271933,14,Never-married,Exec-managerial,Unmarried,White,Female,50,0
50,Private,230951,13,Married-civ-spouse,Sales,Husband,White,Male,40,0
55,Private,306164,9,Married-civ-spouse,Other-service,Husband,Black,Male,40,0
36,Private,30267,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,0
23,Private,197200,13,Never-married,Prof-specialty,Own-child,White,Male,60,0
19,Private,238474,10,Never-married,Sales,Own-child,White,Male,25,0
59,State-gov,132717,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
30,Private,165686,13,Never-married,Other-service,Not-in-family,White,Female,40,0
48,Private,164423,9,Divorced,Machine-op-inspct,Unmarried,White,Female,40,0
30,Private,241885,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
39,Private,403489,7,Divorced,Transport-moving,Own-child,White,Male,40,0
19,Private,216804,4,Never-married,Other-service,Own-child,White,Male,33,0
37,Local-gov,233825,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,1
31,Private,202729,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1
40,Private,210648,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,1
22,Federal-gov,57216,10,Never-married,Adm-clerical,Own-child,Black,Male,20,0
53,Private,167651,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
27,Private,31659,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
37,Private,267086,11,Divorced,Tech-support,Unmarried,White,Female,52,0
29,Private,251854,13,Never-married,Adm-clerical,Not-in-family,Black,Female,40,0
40,Private,289748,13,Never-married,Exec-managerial,Not-in-family,White,Female,48,0
19,Private,66838,10,Never-married,Sales,Own-child,White,Female,9,0
36,Private,200360,10,Never-married,Craft-repair,Not-in-family,White,Male,40,0
27,Private,183523,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
59,Private,214052,3,Divorced,Machine-op-inspct,Unmarried,White,Female,40,0
31,Self-emp-not-inc,182177,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
33,Private,341187,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
45,Private,265097,9,Married-civ-spouse,Other-service,Husband,White,Male,40,1
36,Private,175643,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,0
18,Private,205218,10,Never-married,Other-service,Own-child,White,Female,20,0
49,Private,31339,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
51,Self-emp-not-inc,155963,10,Married-civ-spouse,Craft-repair,Husband,White,Male,55,0
29,Private,183627,7,Divorced,Craft-repair,Not-in-family,White,Male,40,0
58,Private,153551,13,Never-married,Prof-specialty,Not-in-family,White,Female,60,0
20,Private,116375,5,Never-married,Sales,Own-child,White,Female,40,0
27,Private,163862,9,Never-married,Transport-moving,Not-in-family,White,Male,40,0
29,Private,241667,14,Never-married,Prof-specialty,Not-in-family,White,Female,45,0
25,Private,251915,13,Never-married,Sales,Own-child,White,Female,40,0
30,Private,35724,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,1
20,Private,137651,10,Never-married,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,40,0
21,Local-gov,212780,8,Never-married,Handlers-cleaners,Unmarried,Black,Female,20,0
18,Private,41794,7,Never-married,Other-service,Own-child,White,Female,20,0
44,Self-emp-inc,104892,10,Married-civ-spouse,Craft-repair,Husband,White,Male,58,1
35,Private,226311,13,Never-married,Sales,Not-in-family,White,Female,40,0
40,Private,183765,9,Married-civ-spouse,Other-service,Husband,White,Male,40,0
37,Federal-gov,419053,9,Divorced,Craft-repair,Not-in-family,White,Male,40,0
67,Private,49401,11,Divorced,Other-service,Not-in-family,White,Female,24,0
34,Private,314375,11,Divorced,Craft-repair,Not-in-family,White,Male,40,0
58,Local-gov,259216,5,Divorced,Other-service,Not-in-family,White,Female,40,0
35,Private,113322,11,Married-civ-spouse,Sales,Husband,White,Male,40,0
31,Private,154227,9,Married-civ-spouse,Craft-repair,Husband,White,Male,43,1
19,Private,236879,10,Never-married,Exec-managerial,Own-child,White,Female,35,0
45,Private,123075,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0
43,Private,258049,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,53,1
26,Private,102476,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
56,Private,172364,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
42,Private,413297,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,0
22,Private,83315,9,Never-married,Adm-clerical,Unmarried,White,Male,40,0
27,Private,39665,9,Divorced,Sales,Unmarried,White,Female,37,0
57,Self-emp-not-inc,177271,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,0
51,Private,180807,10,Divorced,Exec-managerial,Unmarried,White,Female,40,0
27,Private,215504,13,Married-civ-spouse,Sales,Husband,White,Male,55,1
58,Self-emp-not-inc,105592,4,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
34,Self-emp-not-inc,192259,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,1
22,Private,103440,9,Never-married,Other-service,Not-in-family,White,Female,24,0
25,Private,177017,9,Never-married,Sales,Not-in-family,White,Male,37,0
27,Private,333990,11,Never-married,Exec-managerial,Own-child,White,Female,40,0
40,Local-gov,50442,10,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,35,0
32,Private,235124,11,Divorced,Prof-specialty,Not-in-family,White,Male,40,0
34,Private,150154,9,Never-married,Adm-clerical,Own-child,White,Male,40,0
27,Private,209891,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,50,0
44,Private,279183,10,Married-civ-spouse,Other-service,Own-child,White,Female,40,1
17,Private,95909,7,Never-married,Handlers-cleaners,Own-child,White,Male,12,0
36,Local-gov,331902,10,Divorced,Adm-clerical,Unmarried,White,Female,35,0
39,Private,370585,9,Separated,Machine-op-inspct,Not-in-family,Black,Male,40,0
55,Private,193130,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
35,Private,186934,13,Married-civ-spouse,Sales,Husband,White,Male,50,1
36,Private,66173,12,Married-civ-spouse,Sales,Wife,White,Female,15,0
29,Private,54131,10,Never-married,Sales,Not-in-family,White,Male,30,0
60,Self-emp-inc,181196,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
32,Private,402089,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0
54,Private,175594,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
36,Private,226918,13,Never-married,Sales,Not-in-family,Black,Male,48,0
27,Private,131679,11,Divorced,Sales,Not-in-family,White,Female,40,0
30,Federal-gov,48458,10,Never-married,Adm-clerical,Own-child,Black,Female,40,0
28,Private,149734,9,Never-married,Other-service,Unmarried,Black,Female,52,0
30,Self-emp-not-inc,87561,10,Never-married,Adm-clerical,Not-in-family,White,Female,60,0
42,Private,44402,13,Married-civ-spouse,Sales,Husband,White,Male,60,0
39,Private,187089,10,Divorced,Sales,Not-in-family,White,Female,40,0
37,Private,280464,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,1
46,Private,165138,10,Married-civ-spouse,Transport-moving,Husband,White,Male,45,1
39,Private,306646,10,Married-civ-spouse,Sales,Husband,White,Male,50,1
33,Private,136331,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
19,Private,240468,10,Married-spouse-absent,Sales,Own-child,White,Female,40,0
57,State-gov,19520,16,Divorced,Prof-specialty,Unmarried,White,Female,50,0
32,Private,286675,10,Never-married,Exec-managerial,Other-relative,White,Male,40,0
45,Self-emp-not-inc,183710,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
52,Local-gov,84808,9,Divorced,Adm-clerical,Unmarried,Black,Female,40,0
38,Private,156728,13,Married-civ-spouse,Sales,Husband,White,Male,40,1
19,Private,693066,8,Never-married,Other-service,Own-child,White,Female,15,0
45,Private,126141,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
65,Private,169047,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,10,0
25,Private,35854,10,Married-spouse-absent,Sales,Unmarried,White,Female,40,0
51,Private,159910,13,Divorced,Exec-managerial,Not-in-family,Black,Male,40,1
39,Private,188038,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,0
19,Private,430471,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
69,Private,541737,10,Widowed,Adm-clerical,Not-in-family,White,Female,24,0
27,Private,72887,9,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,40,0
44,Federal-gov,206553,11,Divorced,Tech-support,Not-in-family,White,Male,40,0
74,Private,260669,6,Divorced,Other-service,Not-in-family,White,Female,1,0
34,State-gov,221966,13,Never-married,Prof-specialty,Not-in-family,White,Male,45,0
31,Private,420749,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
39,Self-emp-not-inc,194668,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,0
36,Private,214378,9,Divorced,Prof-specialty,Own-child,White,Female,40,1
50,Local-gov,164127,9,Never-married,Other-service,Not-in-family,Black,Female,40,0
29,Private,120986,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,65,0
23,Local-gov,55890,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,0
60,Private,142494,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
43,Private,59107,9,Separated,Other-service,Not-in-family,White,Female,40,0
30,Private,105908,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
34,Private,146980,9,Married-spouse-absent,Other-service,Unmarried,White,Female,65,0
28,Local-gov,50512,13,Never-married,Prof-specialty,Not-in-family,White,Female,50,0
30,Self-emp-not-inc,45427,11,Divorced,Craft-repair,Not-in-family,White,Male,49,0
54,Private,133050,10,Never-married,Sales,Not-in-family,Black,Male,41,0
25,Private,251854,7,Never-married,Adm-clerical,Own-child,Black,Female,40,0
35,Private,165930,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
43,Private,174575,10,Divorced,Prof-specialty,Unmarried,White,Male,45,0
39,Private,155603,10,Never-married,Other-service,Own-child,Black,Female,40,0
24,Private,52262,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,0
54,Private,291755,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
20,Private,174714,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
27,Self-emp-not-inc,208577,9,Never-married,Craft-repair,Not-in-family,White,Male,50,0
58,Self-emp-not-inc,193434,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20,0
42,Private,310632,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1
39,Private,28572,9,Divorced,Other-service,Not-in-family,White,Male,40,0
39,Self-emp-not-inc,154641,9,Divorced,Farming-fishing,Not-in-family,White,Male,50,1
44,Private,277720,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,0
43,Federal-gov,214541,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
42,Self-emp-not-inc,195897,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
26,Private,59367,13,Never-married,Machine-op-inspct,Other-relative,White,Male,40,0
34,Federal-gov,419691,13,Married-civ-spouse,Protective-serv,Husband,White,Male,54,1
55,Private,256526,9,Separated,Machine-op-inspct,Not-in-family,White,Male,45,0
27,Private,205145,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
48,Self-emp-inc,136878,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,1
